word,DELMET,word_10,label_10,word_5,label_5,word_22,label_22,word_1,label_1,word_21,label_21
transferred,1,transferred,0,transferred,0,music,0,process,0,transferred,0
Stein,0,Stein,0,Stein,0,life,0,holding,0,Stein,0
literary,0,literary,0,literary,0,from,0,meetings,0,literary,0
abstraction,0,abstraction,0,abstraction,1,sitter,0,children,0,abstraction,1
to,1,to,0,to,0,drawing,0,telecottage,0,to,0
music,0,music,0,music,0,technique,0,store,0,music,0
life,2,life,0,life,0,painter,0,people,0,life,0
from,2,from,0,from,0,employ,0,walks,1,from,0
sitter,2,sitter,0,sitter,0,portraits,0,life,0,sitter,0
drawing,2,drawing,0,drawing,0,these,0,entrepreneurs,0,drawing,0
technique,2,technique,0,technique,0,unusually,0,spouses,0,technique,0
painter,2,painter,0,painter,0,the,0,assistants,0,painter,0
employ,2,employ,0,employ,0,of,0,craftspeople,0,employ,0
portraits,2,portraits,0,portraits,0,the,0,children,0,portraits,0
these,2,these,0,these,0,an,0,derisive,0,these,0
unusually,0,unusually,0,unusually,0,ideal,1,chants,0,unusually,0
the,0,the,0,the,0,combination,0,humiliation,0,the,0
of,0,of,0,of,0,of,0,side,0,of,0
the,0,the,0,the,0,Thomson,0,start,0,the,0
an,0,an,0,an,0,habit,0,season,0,an,0
ideal,0,ideal,0,ideal,0,of,0,going-over,0,ideal,0
combination,0,combination,0,combination,0,immediate,0,players,0,combination,1
of,0,of,0,of,0,response,0,general,0,of,0
Thomson,0,Thomson,0,Thomson,0,with,0,secretary,0,Thomson,0
habit,1,habit,0,habit,0,an,0,workers,0,habit,0
of,0,of,0,of,0,actual,0,union,0,of,0
immediate,1,immediate,1,immediate,0,subject,0,vote,0,immediate,0
response,1,response,0,response,0,In,0,defence,0,response,0
with,1,with,0,with,0,some,0,policy,0,with,0
an,0,an,0,an,0,cases,0,majority,0,an,0
actual,0,actual,0,actual,0,Labour,0,right-wingers,0,actual,0
subject,1,subject,0,subject,0,quangos,0,warned,0,subject,0
In,1,In,0,In,0,merge,0,leaders,0,In,0
some,0,some,0,some,0,existing,0,expect,0,some,0
cases,0,cases,0,cases,0,ones,0,everybody,0,cases,0
Labour,0,Labour,0,Labour,0,or,0,goose-step,1,Labour,0
quangos,0,quangos,0,quangos,0,replace,0,direction,0,quangos,0
merge,1,merge,0,merge,0,well-established,0,policy,0,merge,0
existing,0,existing,0,existing,0,bodies,0,carried,0,existing,0
ones,0,ones,0,ones,0,The,0,Clocks,0,ones,0
or,0,or,0,or,0,success,0,instruments,0,or,0
replace,1,replace,0,replace,0,of,0,sell,0,replace,0
well-established,0,well-established,0,well-established,0,the,0,house,0,well-established,0
bodies,1,bodies,0,bodies,0,Ahlbergs,0,cottage,0,bodies,0
The,0,The,0,The,0,working,0,centre,0,The,0
success,0,success,0,success,0,relationship,0,town,0,success,0
of,0,of,0,of,0,must,0,South,0,of,0
the,0,the,0,the,0,have,0,Molton,0,the,0
Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,a,0,cottage,0,Ahlbergs,0
working,0,working,0,working,0,lot,0,guide,0,working,0
relationship,0,relationship,0,relationship,0,to,0,price,0,relationship,0
must,0,must,0,must,0,do,0,lots,0,must,0
have,0,have,0,have,0,with,0,sale,0,have,0
a,0,a,0,a,0,their,0,auction,0,a,0
lot,0,lot,1,lot,0,long,0,Property,0,lot,0
to,0,to,0,to,0,and,0,Services,0,to,0
do,0,do,0,do,0,happy,0,building,0,do,0
with,1,with,0,with,0,marriage,0,society,0,with,0
their,0,their,0,their,0,They,0,subsidiary,0,their,0
long,1,long,0,long,0,see,0,auctioning,0,long,0
and,0,and,0,and,0,themselves,0,venues,0,and,0
happy,1,happy,0,happy,0,not,0,period,0,happy,0
marriage,0,marriage,0,marriage,0,as,0,auction,0,marriage,0
They,0,They,0,They,0,author,0,buyers,0,They,0
see,1,see,0,see,0,and,0,commit,0,see,0
themselves,0,themselves,0,themselves,0,illustrator,0,themselves,0,themselves,0
not,0,not,0,not,0,with,0,difficulty,0,not,0
as,0,as,0,as,0,separate,0,buyers,0,as,0
author,0,author,0,author,0,roles,0,proceed,0,author,0
and,0,and,0,and,0,but,0,between,0,and,0
illustrator,0,illustrator,0,illustrator,0,as,0,director,0,illustrator,0
with,1,with,0,with,0,a,0,agents,0,with,0
separate,1,separate,0,separate,0,partnership,0,Misunderstood,0,separate,0
roles,1,roles,0,roles,0,of,0,Records,0,roles,0
but,0,but,0,but,0,book-makers,0,play,0,but,0
as,0,as,0,as,0,contributing,0,music,0,as,0
a,0,a,0,a,0,equally,0,way,0,a,0
partnership,0,partnership,0,partnership,0,to,0,Gerry,0,partnership,1
of,0,of,0,of,0,the,0,Conlon,0,of,0
book-makers,0,book-makers,0,book-makers,0,process,0,account,0,book-makers,0
contributing,0,contributing,0,contributing,0,By,0,interrogated,0,contributing,0
equally,0,equally,0,equally,0,holding,0,Guildford,0,equally,0
to,1,to,0,to,0,open,0,bombings,0,to,0
the,0,the,0,the,0,meetings,0,scalp,1,the,0
process,0,process,0,process,0,for,0,crawl,0,process,0
By,0,By,0,By,0,children,0,Government,0,By,0
holding,1,holding,0,holding,0,and,0,compounds,0,holding,0
open,1,open,0,open,0,having,0,problems,0,open,0
meetings,0,meetings,0,meetings,0,the,0,sets,0,meetings,0
for,0,for,0,for,0,telecottage,0,down,0,for,0
children,0,children,0,children,0,above,0,working,0,children,0
and,0,and,0,and,0,the,0,parameters,0,and,0
having,0,having,0,having,0,local,0,fail,0,having,0
the,0,the,0,the,0,store,0,reflect,0,the,0
telecottage,0,telecottage,0,telecottage,0,people,0,value,0,telecottage,0
above,0,above,0,above,0,of,0,country,0,above,0
the,0,the,0,the,0,all,0,system,0,the,0
local,0,local,0,local,0,walks,0,run,0,local,0
store,0,store,0,store,0,of,0,shift,0,store,0
people,0,people,0,people,0,life,0,people,0,people,0
of,0,of,0,of,0,came+in,0,destinations,0,of,0
all,0,all,0,all,0,small-scale,0,speed,0,all,0
walks,1,walks,1,walks,0,entrepreneurs,0,safety,0,walks,0
of,0,of,0,of,0,and,0,Europe,0,of,0
life,0,life,0,life,0,their,0,Francesca,0,life,1
came+in,0,came+in,0,came+in,0,spouses,0,Simon,0,came+in,0
small-scale,0,small-scale,0,small-scale,0,shop+assistants,0,describes,0,small-scale,0
entrepreneurs,0,entrepreneurs,0,entrepreneurs,0,craftspeople,0,pitfalls,0,entrepreneurs,0
and,0,and,0,and,0,and,0,avoid,0,and,0
their,0,their,0,their,0,children,0,Travel,0,their,0
spouses,0,spouses,0,spouses,0,As+if,0,Copse,0,spouses,0
shop+assistants,0,shop+assistants,0,shop+assistants,0,24-17,0,robbers,0,shop+assistants,0
craftspeople,0,craftspeople,0,craftspeople,0,and,0,Christopher,0,craftspeople,0
and,0,and,0,and,0,derisive,0,Somerville,0,and,0
children,0,children,0,children,0,chants,0,sees,0,children,0
As+if,0,As+if,0,As+if,0,of,0,woodland,0,As+if,0
24-17,0,24-17,0,24-17,0,Easy,0,usurped,1,24-17,0
and,0,and,0,and,0,easy,0,cattle,0,and,0
derisive,0,derisive,0,derisive,0,were,0,thieves,0,derisive,0
chants,1,chants,0,chants,0,not,0,Cheviot,0,chants,0
of,0,of,0,of,0,bad,0,Hills,0,of,0
Easy,0,Easy,0,Easy,0,enough,0,nothing,0,Easy,0
easy,0,easy,0,easy,0,this,0,Con,0,easy,0
were,0,were,0,were,0,humiliation,0,Maj,0,were,0
not,0,not,0,not,0,was,0,villagers,0,not,0
bad,0,bad,0,bad,0,against,0,Ramsala,0,bad,0
enough,0,enough,0,enough,0,a,0,recipients,0,enough,0
this,1,this,0,this,0,side,0,Palm,0,this,0
humiliation,0,humiliation,0,humiliation,1,who,0,Beach,0,humiliation,1
was,0,was,0,was,0,have,0,dollars,0,was,0
against,1,against,0,against,0,made,0,explained,0,against,0
a,0,a,0,a,0,a,0,cameras,0,a,0
side,1,side,0,side,0,wretched,0,needed,0,side,0
who,0,who,0,who,0,start,0,clinic,0,who,0
have,0,have,0,have,0,to,0,collaborated,1,have,0
made,1,made,1,made,0,the,0,directly,0,made,0
a,0,a,0,a,0,season,0,her,0,a,0
wretched,1,wretched,0,wretched,0,a,0,opera,0,wretched,0
start,0,start,0,start,0,week,0,result,0,start,0
to,1,to,0,to,0,earlier,0,historical,0,to,0
the,0,the,0,the,0,Pontypool,0,significance,0,the,0
season,0,season,0,season,0,had,0,effort,0,season,0
a,0,a,0,a,0,going-over,0,Department,0,a,0
week,0,week,0,week,0,given,0,Economic,0,week,0
earlier,0,earlier,0,earlier,0,them,0,Affairs,0,earlier,0
Pontypool,0,Pontypool,0,Pontypool,0,a,0,set+up,0,Pontypool,0
had,0,had,0,had,0,6?-35,0,Harold,0,had,0
going-over,2,going-over,0,going-over,0,and,0,Wilson,0,going-over,0
given,2,given,0,given,0,were,0,headed,0,given,0
them,0,them,0,them,0,short,0,George,0,them,0
a,0,a,0,a,0,of,0,Brown,0,a,0
6?-35,0,6?-35,0,6?-35,0,at+least,0,ended,0,6?-35,0
and,0,and,0,and,0,half-a-dozen,0,futile,1,and,0
were,0,were,0,were,0,first-choice,0,departmental,0,were,0
short,1,short,0,short,0,players,0,ministerial,0,short,0
of,0,of,0,of,0,Ron,0,infighting,0,of,0
at+least,0,at+least,0,at+least,0,Todd,0,DTI,0,at+least,0
half-a-dozen,0,half-a-dozen,0,half-a-dozen,0,the,0,override,1,half-a-dozen,0
first-choice,0,first-choice,0,first-choice,0,general,0,Treasury,0,first-choice,0
players,0,players,0,players,0,secretary,0,new,0,players,0
Ron,0,Ron,0,Ron,0,of,0,powerful,0,Ron,0
Todd,0,Todd,0,Todd,0,the,0,Department,0,Todd,0
the,0,the,0,the,0,transport,0,Consumer,0,the,0
general,0,general,0,general,0,workers,0,Affairs,0,general,0
secretary,0,secretary,0,secretary,0,union,0,antagonise,1,secretary,0
of,0,of,0,of,0,said,0,DTI,0,of,0
the,0,the,0,the,0,that,0,Labour,0,the,0
transport,0,transport,0,transport,0,today,0,acquiescing,1,transport,0
workers,0,workers,0,workers,0,vote,0,democratic,0,workers,0
union,0,union,0,union,0,on,0,outrage,1,union,0
said,0,said,0,said,0,the,0,continued,0,said,0
that,0,that,0,that,0,multilaterist,0,arguing,0,that,0
today,0,today,0,today,0,nuclear,0,Conservatives,0,today,0
vote,0,vote,0,vote,0,defence,0,got,0,vote,0
on,1,on,0,on,0,policy,0,away,0,on,0
the,0,the,0,the,0,would,0,undemocratic,0,the,0
multilaterist,0,multilaterist,0,multilaterist,0,not,0,long,0,multilaterist,0
nuclear,0,nuclear,0,nuclear,0,yield,0,Labour,0,nuclear,0
defence,0,defence,0,defence,0,the,0,turn,0,defence,0
policy,0,policy,0,policy,0,massive,0,telecottages,0,policy,0
would,0,would,0,would,0,and,0,become,0,would,0
not,0,not,0,not,0,overwhelming,0,self-financing,0,not,0
yield,1,yield,0,yield,0,majority,0,established,0,yield,0
the,0,the,0,the,0,predicted,0,need,0,the,0
massive,1,massive,0,massive,0,by,0,initial,0,massive,0
and,0,and,0,and,0,right-wingers,0,subsidy,0,and,0
overwhelming,0,overwhelming,0,overwhelming,0,and,0,Villages,0,overwhelming,0
majority,0,majority,0,majority,0,he,0,expensive,0,majority,0
predicted,0,predicted,0,predicted,0,warned,0,live,0,predicted,0
by,0,by,0,by,0,that,0,become,0,by,0
right-wingers,1,right-wingers,0,right-wingers,0,party,0,vibrant,1,right-wingers,0
and,0,and,0,and,0,leaders,0,communities,0,and,0
he,0,he,0,he,0,could,0,local,0,he,0
warned,0,warned,0,warned,0,not,0,people,0,warned,0
that,0,that,0,that,0,expect,0,earn,0,that,0
party,0,party,0,party,0,everybody,0,enough,0,party,0
leaders,0,leaders,0,leaders,0,to,0,continue,0,leaders,0
could,0,could,0,could,0,goose-step,1,living,0,could,0
not,0,not,0,not,0,in,0,Mr,0,not,0
expect,0,expect,0,expect,0,the,0,Smith,0,expect,0
everybody,0,everybody,0,everybody,0,same,0,said,0,everybody,0
to,0,to,0,to,0,direction,0,interview,0,to,0
goose-step,2,goose-step,1,goose-step,1,once,0,BBC,0,goose-step,1
in,1,in,0,in,0,the,0,television,0,in,0
the,0,the,0,the,0,policy,0,Record,0,the,0
same,0,same,0,same,0,had,0,expect,0,same,0
direction,1,direction,0,direction,0,been,0,colleagues,0,direction,0
once,0,once,0,once,0,carried,0,spend,0,once,0
the,0,the,0,the,0,Glasgow,0,spend,0,the,0
policy,0,policy,0,policy,0,Clocks,0,took,0,policy,0
had,0,had,0,had,0,and,0,office,0,had,0
been,0,been,0,been,0,scientific,0,Doctors,0,been,0
carried,1,carried,0,carried,0,instruments,0,worried,0,carried,0
Glasgow,0,Glasgow,0,Glasgow,0,Wednesday,0,women,0,Glasgow,0
Clocks,0,Clocks,0,Clocks,0,11am,0,turning,0,Clocks,0
and,0,and,0,and,0,First,0,prostitution,0,and,0
scientific,0,scientific,0,scientific,0,they,0,finance,0,scientific,0
instruments,0,instruments,0,instruments,0,have,0,habit,0,instruments,0
Wednesday,0,Wednesday,0,Wednesday,0,to,0,risk,0,Wednesday,0
11am,0,11am,0,11am,0,sell,0,contracting,0,11am,0
First,0,First,0,First,0,their,0,Aids,0,First,0
they,0,they,0,they,0,present,0,drink,0,they,0
have,0,have,0,have,0,house,0,thirsty,0,have,0
to,0,to,0,to,0,a,0,Globe,0,to,0
sell,0,sell,0,sell,0,two-bedroom,0,artichokes,0,sell,0
their,0,their,0,their,0,cottage,0,sprouting,0,their,0
present,0,present,0,present,0,in,0,new,0,present,0
house,0,house,0,house,0,the,0,leaves,0,house,0
a,0,a,0,a,0,centre,0,need,0,a,0
two-bedroom,0,two-bedroom,0,two-bedroom,0,of,0,protection,0,two-bedroom,0
cottage,0,cottage,0,cottage,0,the,0,frost,0,cottage,0
in,0,in,0,in,0,town,0,cold,0,in,0
the,0,the,0,the,0,Their,0,areas,0,the,0
centre,1,centre,0,centre,0,South,0,trying,0,centre,0
of,0,of,0,of,0,Molton,0,smooth,1,of,0
the,0,the,0,the,0,cottage,0,path,0,the,0
town,0,town,0,town,0,guide,0,purchasers,0,town,0
Their,0,Their,0,Their,0,price,0,streamline,0,Their,0
South,0,South,0,South,0,"Â£44,000-Â£46,000",0,system,0,South,0
Molton,0,Molton,0,Molton,0,is,0,says,0,Molton,0
cottage,0,cottage,0,cottage,0,one,0,Graham,0,cottage,0
guide,1,guide,0,guide,0,of,0,Harrison,0,guide,0
price,0,price,0,price,0,more+than,0,pointing+out,0,price,0
"£44,000-£46,000",0,"Â£44,000-Â£46,000",0,"Â£44,000-Â£46,000",0,20,0,live,0,"Â£44,000-Â£46,000",0
is,0,is,0,is,0,lots,0,telephone,0,is,0
one,0,one,0,one,0,to,0,bidding,0,one,0
of,0,of,0,of,0,be,0,available,0,of,0
more+than,0,more+than,0,more+than,0,put+up,0,unable,0,more+than,0
20,0,20,0,20,0,for,0,attend,0,20,0
lots,0,lots,0,lots,0,sale,0,collective,0,lots,0
to,0,to,0,to,0,at,0,property,0,to,0
be,0,be,0,be,0,the,0,auctions,0,be,0
put+up,1,put+up,0,put+up,0,Barnstaple,0,take,0,put+up,0
for,0,for,0,for,0,auction,0,place,0,for,0
sale,0,sale,0,sale,0,by,0,regularly,0,sale,0
at,1,at,0,at,0,Bristol,0,London,0,at,0
the,0,the,0,the,0,and,0,often,0,the,0
Barnstaple,0,Barnstaple,0,Barnstaple,0,West,0,primarily,0,Barnstaple,0
auction,0,auction,0,auction,0,Property,0,investors,0,auction,0
by,0,by,0,by,0,Services,0,rather+than,0,by,0
Bristol,0,Bristol,0,Bristol,0,and,0,house-hunters,0,Bristol,0
and,0,and,0,and,0,one,0,country,0,and,0
West,0,West,0,West,0,of,0,areas,0,West,0
Property,0,Property,0,Property,0,more+than,0,typical,0,Property,0
Services,0,Services,0,Services,0,a,0,auction,0,Services,0
and,0,and,0,and,0,hundred,0,house,0,and,0
one,0,one,0,one,0,which,0,likely,0,one,0
of,0,of,0,of,0,the,0,not,0,of,0
more+than,0,more+than,0,more+than,0,building+society,0,take,0,more+than,0
a,0,a,0,a,0,subsidiary,0,place,0,a,0
hundred,0,hundred,0,hundred,0,will,0,nearby,0,hundred,0
which,0,which,0,which,0,be,0,pub,0,which,0
the,0,the,0,the,0,auctioning,0,village,0,the,0
building+society,0,building+society,0,building+society,0,in,0,hall,0,building+society,0
subsidiary,0,subsidiary,0,subsidiary,0,eight,0,supertram,0,subsidiary,0
will,0,will,0,will,0,West+Country,0,concept,0,will,0
be,0,be,0,be,0,venues,0,spread,0,be,0
auctioning,0,auctioning,0,auctioning,0,over,0,major,0,auctioning,0
in,0,in,0,in,0,a,0,cities,0,in,0
eight,0,eight,0,eight,0,three-day,0,decade,0,eight,0
West+Country,0,West+Country,0,West+Country,0,period,0,Blackpool,0,West+Country,0
venues,0,venues,0,venues,0,With,0,alone,0,venues,0
over,1,over,0,over,0,an,0,use,0,over,0
a,0,a,0,a,0,auction,0,traditional,0,a,0
three-day,0,three-day,0,three-day,0,you,0,double-deckers,0,three-day,0
period,0,period,0,period,0,'ve,0,Armstrong,0,period,0
With,1,With,0,With,0,got,0,seems,0,With,0
an,0,an,0,an,0,to,0,least,0,an,0
auction,0,auction,0,auction,0,be,0,permanently,0,auction,0
you,0,you,0,you,0,certain,0,damaged,0,you,0
've,0,'ve,0,'ve,0,that,0,surface,0,'ve,0
got,0,got,0,got,0,at+least,0,strain,0,got,0
to,0,to,0,to,0,two,0,start,0,to,0
be,0,be,0,be,0,buyers,0,technically,0,be,0
certain,0,certain,0,certain,0,are,0,ill-equipped,0,certain,0
that,0,that,0,that,0,there,0,avert,0,that,0
at+least,0,at+least,0,at+least,0,who,0,disaster,0,at+least,0
two,0,two,0,two,0,can,0,cope,0,two,0
buyers,0,buyers,0,buyers,0,commit,0,consequences,0,buyers,0
are,0,are,0,are,0,themselves,0,disaster,0,are,0
there,0,there,0,there,0,and,0,struck,0,there,0
who,0,who,0,who,0,the,0,strain,0,who,0
can,0,can,0,can,0,difficulty,0,commercial,0,can,0
commit,1,commit,0,commit,0,is,0,pressures,0,commit,0
themselves,0,themselves,0,themselves,0,that,0,inquiry,0,themselves,0
and,0,and,0,and,0,buyers,0,puts,0,and,0
the,0,the,0,the,0,who,0,compromised,0,the,0
difficulty,0,difficulty,0,difficulty,0,can,0,safety,0,difficulty,0
is,0,is,0,is,0,proceed,0,strain,0,is,0
that,0,that,0,that,0,are,0,people,0,that,0
buyers,0,buyers,0,buyers,0,few,0,spot,0,buyers,0
who,0,who,0,who,0,and,0,cope,0,who,0
can,0,can,0,can,0,far,0,weary,0,can,0
proceed,1,proceed,0,proceed,0,between,0,gruesome,0,proceed,0
are,0,are,0,are,0,said,0,working,0,are,0
few,0,few,0,few,0,David,0,hours,0,few,0
and,0,and,0,and,0,Phillip,0,senior,0,and,0
far,1,far,0,far,0,a,0,signal,0,far,0
between,1,between,0,between,0,director,0,technician,0,between,1
said,0,said,0,said,0,of,0,heads,0,said,0
David,0,David,0,David,0,Yorkshire,0,list,0,David,0
Phillip,0,Phillip,0,Phillip,0,estate+agents,0,culpable,0,Phillip,0
a,0,a,0,a,0,Dacre,0,one,0,a,0
director,0,director,0,director,0,Son,0,day,0,director,0
of,0,of,0,of,0,and,0,past,0,of,0
Yorkshire,0,Yorkshire,0,Yorkshire,0,Hartley,0,weeks,0,Yorkshire,0
estate+agents,0,estate+agents,0,estate+agents,0,Misunderstood,0,lacked,0,estate+agents,0
Dacre,0,Dacre,0,Dacre,0,by,0,adequate,0,Dacre,0
Son,0,Son,0,Son,0,Decca,0,training,0,Son,0
and,0,and,0,and,0,Records,0,bothered,0,and,0
Hartley,0,Hartley,0,Hartley,0,he,0,refusing,0,Hartley,0
Misunderstood,1,Misunderstood,0,Misunderstood,0,maintains,0,keep,0,Misunderstood,0
by,0,by,0,by,0,I,0,open,0,by,0
Decca,0,Decca,0,Decca,0,wan,0,two-way,0,Decca,0
Records,0,Records,0,Records,0,na,0,radio,0,Records,0
he,0,he,0,he,0,play,0,links,0,he,0
maintains,1,maintains,0,maintains,0,ma,0,crews,0,maintains,0
I,0,I,0,I,0,music,0,effectively,0,I,0
wan,0,wan,0,wan,0,ma,0,ended,0,wan,0
na,0,na,0,na,0,way,0,proper,0,na,0
play,0,play,0,play,0,But,0,emergency+service,0,play,0
ma,0,ma,0,ma,0,it,0,law,0,ma,0
music,0,music,0,music,0,was,0,doubt,0,music,0
ma,0,ma,0,ma,0,Gerry,0,Mrs,0,ma,0
way,1,way,0,way,0,Conlon,0,Bujok,0,way,0
But,0,But,0,But,0,account,0,entitled,0,But,0
it,0,it,0,it,0,of,0,commence,0,it,0
was,0,was,0,was,0,being,0,proceedings,0,was,0
Gerry,0,Gerry,0,Gerry,0,interrogated,0,giving,0,Gerry,0
Conlon,0,Conlon,0,Conlon,0,after,0,notice,0,Conlon,0
account,0,account,0,account,0,the,0,state,0,account,0
of,0,of,0,of,0,Guildford,0,dwelling,0,of,0
being,0,being,0,being,0,bombings,0,council,0,being,0
interrogated,0,interrogated,0,interrogated,0,that,0,took,0,interrogated,0
after,1,after,0,after,0,made,0,chin,1,after,0
the,0,the,0,the,0,the,0,meantime,0,the,0
Guildford,0,Guildford,0,Guildford,0,scalp,0,capacity,0,Guildford,0
bombings,0,bombings,0,bombings,0,crawl,1,bring,0,bombings,0
that,0,that,0,that,0,Government,0,coherence,0,that,0
made,1,made,0,made,0,compounds,1,organisation,0,made,0
the,0,the,0,the,0,all,0,range,0,the,0
scalp,0,scalp,0,scalp,0,these,0,activities,0,scalp,0
crawl,1,crawl,0,crawl,0,problems,0,further,0,crawl,1
Government,0,Government,0,Government,0,when,0,consolidating,0,Government,0
compounds,1,compounds,1,compounds,1,it,0,institutional,0,compounds,0
all,0,all,0,all,0,sets+down,0,linkage,0,all,0
these,1,these,0,these,0,working,0,people,0,these,0
problems,0,problems,0,problems,0,parameters,0,occupied,0,problems,0
when,0,when,0,when,0,which,0,state,0,when,0
it,0,it,0,it,0,fail,0,PLO,0,it,0
sets+down,1,sets+down,0,sets+down,0,to,0,leadership,0,sets+down,0
working,0,working,0,working,0,reflect,0,age,0,working,0
parameters,0,parameters,0,parameters,0,the,0,structure,0,parameters,0
which,0,which,0,which,0,value,0,Meadowell,0,which,0
fail,1,fail,0,fail,0,the,0,awash,0,fail,0
to,0,to,0,to,0,country,0,teenagers,0,to,0
reflect,1,reflect,0,reflect,0,gets,0,pastimes,0,reflect,0
the,0,the,0,the,0,from,0,having,0,the,0
value,1,value,0,value,0,a,0,babies,0,value,0
the,0,the,0,the,0,system,0,body-building,0,the,0
country,0,country,0,country,0,that,0,Like,0,country,0
gets,1,gets,0,gets,0,is,0,heckler,0,gets,0
from,1,from,0,from,0,run,0,Liberal,0,from,0
a,0,a,0,a,0,efficiently,0,One,0,a,0
system,1,system,0,system,0,can,0,daughter,0,system,0
that,0,that,0,that,0,shift,0,grand,0,that,0
is,0,is,0,is,0,people,0,duchess,1,is,0
run,1,run,0,run,0,to,0,Russia,0,run,0
efficiently,0,efficiently,0,efficiently,0,destinations,0,gained,1,efficiently,0
can,0,can,0,can,0,with,0,footnote,1,can,0
shift,1,shift,1,shift,0,exemplary,0,history,0,shift,0
people,0,people,0,people,0,speed,0,introducing,0,people,0
to,0,to,0,to,0,and,0,unknown,0,to,0
destinations,0,destinations,0,destinations,0,safety,0,monk,0,destinations,0
with,1,with,0,with,0,as,0,Rasputin,0,with,0
exemplary,0,exemplary,0,exemplary,0,Europe,0,Russian,0,exemplary,0
speed,0,speed,0,speed,0,consistently,0,Tsarina,0,speed,0
and,0,and,0,and,0,demonstrates,0,Alexandra,0,and,0
safety,0,safety,0,safety,0,Francesca,0,He,0,safety,0
as,0,as,0,as,0,Simon,0,started,0,as,0
Europe,0,Europe,0,Europe,0,describes,0,writing,0,Europe,0
consistently,0,consistently,0,consistently,0,some,0,occasional,0,consistently,0
demonstrates,1,demonstrates,0,demonstrates,0,of,0,articles,0,demonstrates,0
Francesca,0,Francesca,0,Francesca,0,the,0,1939,0,Francesca,0
Simon,0,Simon,0,Simon,0,pitfalls,0,wrote,0,Simon,0
describes,0,describes,0,describes,0,and,0,State,0,describes,0
some,0,some,0,some,0,how,0,Music,0,some,0
of,1,of,0,of,0,to,0,trenchant,1,of,0
the,0,the,0,the,0,avoid,0,provocative,1,the,0
pitfalls,0,pitfalls,0,pitfalls,0,them,0,assessment,0,pitfalls,1
and,0,and,0,and,0,Travel,0,machinery,1,and,0
how,0,how,0,how,0,Copse,0,musical,0,how,0
to,0,to,0,to,0,and,0,profession,0,to,0
avoid,1,avoid,0,avoid,0,robbers,0,time,0,avoid,0
them,0,them,0,them,0,Christopher,0,Powerhaus,0,them,0
Travel,0,Travel,0,Travel,0,Somerville,0,N1,0,Travel,0
Copse,0,Copse,0,Copse,0,sees,0,837,0,Copse,0
and,0,and,0,and,0,how,0,3218,0,and,0
robbers,0,robbers,0,robbers,0,woodland,0,8,0,robbers,1
Christopher,0,Christopher,0,Christopher,0,has,0,Â£5,0,Christopher,0
