word,DELMET,word_10,label_10,word_5,label_5,word_22,label_22,word_1,label_1,word_21,label_21,,,,,
cases,0,cases,0,cases,0,cases,0,cases,0,cases,0,,,,,
Labour,0,Labour,0,Labour,0,Labour,0,Labour,0,Labour,0,,,,,
quangos,0,quangos,0,quangos,0,quangos,0,quangos,0,quangos,0,,,,,
merge,1,merge,0,merge,0,merge,0,merge,1,merge,0,,,,,
existing,0,existing,0,existing,0,existing,0,existing,0,existing,0,,,,,
ones,0,ones,0,ones,0,ones,0,ones,0,ones,0,,,,,
or,0,or,0,or,0,or,0,or,0,or,0,,,,,
replace,1,replace,0,replace,0,replace,0,replace,0,replace,0,,,,,
well-established,0,well-established,0,well-established,0,well-established,0,well-established,0,well-established,0,,,,,
bodies,1,bodies,0,bodies,0,bodies,0,bodies,0,bodies,0,,,,,
The,0,The,0,The,0,The,0,The,0,The,0,,,,,
success,0,success,0,success,0,success,0,success,0,success,1,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,Ahlbergs,0,,,,,
working,0,working,0,working,0,working,1,working,0,working,0,,,,,
relationship,0,relationship,0,relationship,0,relationship,0,relationship,1,relationship,0,,,,,
must,0,must,0,must,0,must,0,must,0,must,0,,,,,
have,0,have,0,have,0,have,0,have,0,have,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
lot,0,lot,0,lot,0,lot,0,lot,0,lot,0,,,,,
to,0,to,0,to,0,to,0,to,0,to,0,,,,,
do,0,do,0,do,0,do,0,do,0,do,0,,,,,
with,1,with,0,with,0,with,0,with,0,with,0,,,,,
their,0,their,0,their,0,their,0,their,0,their,0,,,,,
long,1,long,0,long,0,long,0,long,0,long,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
happy,1,happy,0,happy,0,happy,0,happy,0,happy,0,,,,,
marriage,0,marriage,0,marriage,0,marriage,0,marriage,0,marriage,0,,,,,
They,0,They,0,They,0,They,0,They,0,They,0,,,,,
see,1,see,0,see,0,see,0,see,0,see,0,,,,,
themselves,0,themselves,0,themselves,0,themselves,0,themselves,0,themselves,0,,,,,
not,0,not,0,not,0,not,0,not,0,not,0,,,,,
as,0,as,0,as,0,as,0,as,0,as,0,,,,,
author,0,author,0,author,0,author,0,author,0,author,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
illustrator,0,illustrator,0,illustrator,0,illustrator,0,illustrator,0,illustrator,0,,,,,
with,1,with,0,with,0,with,0,with,0,with,0,,,,,
separate,1,separate,0,separate,0,separate,0,separate,0,separate,0,,,,,
roles,1,roles,0,roles,0,roles,0,roles,0,roles,0,,,,,
but,0,but,0,but,0,but,0,but,0,but,0,,,,,
as,0,as,0,as,0,as,0,as,0,as,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
partnership,0,partnership,0,partnership,0,partnership,0,partnership,0,partnership,1,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
book-makers,0,book-makers,0,book-makers,0,book-makers,0,book-makers,1,book-makers,0,,,,,
contributing,0,contributing,0,contributing,0,contributing,0,contributing,0,contributing,0,,,,,
equally,0,equally,0,equally,0,equally,0,equally,0,equally,0,,,,,
to,1,to,0,to,0,to,0,to,0,to,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
process,0,process,0,process,0,process,0,process,0,process,0,,,,,
By,0,By,0,By,0,By,0,By,0,By,0,,,,,
holding,1,holding,0,holding,0,holding,0,holding,0,holding,0,,,,,
open,1,open,0,open,0,open,0,open,0,open,0,,,,,
meetings,0,meetings,0,meetings,0,meetings,0,meetings,0,meetings,0,,,,,
for,0,for,0,for,0,for,0,for,0,for,0,,,,,
children,0,children,0,children,0,children,0,children,0,children,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
having,0,having,0,having,0,having,0,having,0,having,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
telecottage,0,telecottage,0,telecottage,0,telecottage,0,telecottage,0,telecottage,0,,,,,
above,0,above,0,above,0,above,0,above,0,above,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
local,0,local,0,local,0,local,0,local,0,local,0,,,,,
store,0,store,0,store,0,store,0,store,0,store,0,,,,,
people,0,people,0,people,0,people,0,people,0,people,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
all,0,all,0,all,0,all,0,all,0,all,0,,,,,
walks,1,walks,1,walks,0,walks,1,walks,0,walks,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
life,0,life,0,life,0,life,0,life,1,life,1,,,,,
came+in,0,came+in,0,came+in,0,came+in,0,came+in,0,came+in,0,,,,,
small-scale,0,small-scale,0,small-scale,0,small-scale,0,small-scale,0,small-scale,0,,,,,
entrepreneurs,0,entrepreneurs,0,entrepreneurs,0,entrepreneurs,0,entrepreneurs,0,entrepreneurs,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
their,0,their,0,their,0,their,0,their,0,their,0,,,,,
spouses,0,spouses,0,spouses,0,spouses,0,spouses,0,spouses,0,,,,,
shop+assistants,0,shop+assistants,0,shop+assistants,0,shop+assistants,0,shop+assistants,0,shop+assistants,0,,,,,
craftspeople,0,craftspeople,0,craftspeople,0,craftspeople,0,craftspeople,0,craftspeople,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
children,0,children,0,children,0,children,0,children,0,children,0,,,,,
As+if,0,As+if,0,As+if,0,As+if,0,As+if,0,As+if,0,,,,,
24-17,0,24-17,0,24-17,0,24-17,0,24-17,0,24-17,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
derisive,0,derisive,0,derisive,0,derisive,0,derisive,0,derisive,0,,,,,
chants,1,chants,0,chants,0,chants,0,chants,0,chants,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
Easy,0,Easy,0,Easy,0,Easy,0,Easy,0,Easy,0,,,,,
easy,0,easy,0,easy,0,easy,0,easy,0,easy,0,,,,,
were,0,were,0,were,0,were,0,were,0,were,0,,,,,
not,0,not,0,not,0,not,0,not,0,not,0,,,,,
bad,0,bad,0,bad,0,bad,0,bad,0,bad,0,,,,,
enough,0,enough,0,enough,0,enough,0,enough,0,enough,0,,,,,
this,1,this,0,this,0,this,0,this,0,this,0,,,,,
humiliation,0,humiliation,0,humiliation,0,humiliation,0,humiliation,1,humiliation,1,,,,,
was,0,was,0,was,0,was,0,was,0,was,0,,,,,
against,1,against,0,against,0,against,0,against,0,against,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
side,1,side,0,side,0,side,0,side,0,side,0,,,,,
who,0,who,0,who,0,who,0,who,0,who,0,,,,,
have,0,have,0,have,0,have,0,have,0,have,0,,,,,
made,1,made,0,made,0,made,0,made,0,made,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
wretched,1,wretched,0,wretched,0,wretched,0,wretched,0,wretched,0,,,,,
start,0,start,0,start,0,start,0,start,0,start,0,,,,,
to,1,to,0,to,0,to,0,to,0,to,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
season,0,season,0,season,0,season,0,season,0,season,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
week,0,week,0,week,0,week,0,week,0,week,0,,,,,
earlier,0,earlier,0,earlier,0,earlier,0,earlier,0,earlier,0,,,,,
Pontypool,0,Pontypool,0,Pontypool,0,Pontypool,0,Pontypool,0,Pontypool,0,,,,,
had,0,had,0,had,0,had,0,had,0,had,0,,,,,
going-over,2,going-over,0,going-over,0,going-over,0,going-over,0,going-over,0,,,,,
given,2,given,0,given,0,given,0,given,0,given,0,,,,,
them,0,them,0,them,0,them,0,them,0,them,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
6?-35,0,6?-35,0,6?-35,0,6?-35,0,6?-35,0,6?-35,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
were,0,were,0,were,0,were,0,were,0,were,0,,,,,
short,1,short,0,short,0,short,0,short,0,short,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
at+least,0,at+least,0,at+least,0,at+least,0,at+least,0,at+least,0,,,,,
half-a-dozen,0,half-a-dozen,0,half-a-dozen,0,half-a-dozen,0,half-a-dozen,0,half-a-dozen,0,,,,,
first-choice,0,first-choice,0,first-choice,0,first-choice,0,first-choice,0,first-choice,0,,,,,
players,0,players,0,players,0,players,0,players,0,players,0,,,,,
Ron,0,Ron,0,Ron,0,Ron,0,Ron,0,Ron,0,,,,,
Todd,0,Todd,0,Todd,0,Todd,0,Todd,0,Todd,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
general,0,general,0,general,0,general,0,general,0,general,0,,,,,
secretary,0,secretary,0,secretary,0,secretary,0,secretary,0,secretary,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
transport,0,transport,0,transport,0,transport,0,transport,0,transport,0,,,,,
workers,0,workers,0,workers,0,workers,0,workers,0,workers,0,,,,,
union,0,union,0,union,0,union,0,union,0,union,0,,,,,
said,0,said,0,said,0,said,0,said,0,said,0,,,,,
that,0,that,0,that,0,that,0,that,0,that,0,,,,,
today,0,today,0,today,0,today,0,today,0,today,0,,,,,
vote,0,vote,0,vote,0,vote,0,vote,0,vote,0,,,,,
on,1,on,0,on,0,on,0,on,0,on,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
multilaterist,0,multilaterist,0,multilaterist,0,multilaterist,0,multilaterist,0,multilaterist,0,,,,,
nuclear,0,nuclear,0,nuclear,0,nuclear,0,nuclear,0,nuclear,0,,,,,
defence,0,defence,0,defence,0,defence,1,defence,1,defence,0,,,,,
policy,0,policy,0,policy,0,policy,0,policy,0,policy,0,,,,,
would,0,would,0,would,0,would,0,would,0,would,0,,,,,
not,0,not,0,not,0,not,0,not,0,not,0,,,,,
yield,1,yield,0,yield,0,yield,0,yield,0,yield,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
massive,1,massive,0,massive,0,massive,0,massive,0,massive,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
overwhelming,0,overwhelming,0,overwhelming,0,overwhelming,0,overwhelming,0,overwhelming,0,,,,,
majority,0,majority,0,majority,0,majority,0,majority,0,majority,0,,,,,
predicted,0,predicted,0,predicted,0,predicted,0,predicted,0,predicted,0,,,,,
by,0,by,0,by,0,by,0,by,0,by,0,,,,,
right-wingers,1,right-wingers,0,right-wingers,0,right-wingers,0,right-wingers,0,right-wingers,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
he,0,he,0,he,0,he,0,he,0,he,0,,,,,
warned,0,warned,0,warned,0,warned,0,warned,0,warned,0,,,,,
that,0,that,0,that,0,that,0,that,0,that,0,,,,,
party,0,party,0,party,0,party,0,party,0,party,0,,,,,
leaders,0,leaders,0,leaders,0,leaders,0,leaders,0,leaders,0,,,,,
could,0,could,0,could,0,could,0,could,0,could,0,,,,,
not,0,not,0,not,0,not,0,not,0,not,0,,,,,
expect,0,expect,0,expect,0,expect,0,expect,0,expect,0,,,,,
everybody,0,everybody,0,everybody,0,everybody,0,everybody,0,everybody,0,,,,,
to,0,to,0,to,0,to,0,to,0,to,0,,,,,
goose-step,2,goose-step,0,goose-step,1,goose-step,1,goose-step,1,goose-step,1,,,,,
in,1,in,0,in,0,in,0,in,0,in,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
same,0,same,0,same,0,same,0,same,0,same,0,,,,,
direction,1,direction,0,direction,0,direction,0,direction,0,direction,0,,,,,
once,0,once,0,once,0,once,0,once,0,once,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
policy,0,policy,0,policy,0,policy,0,policy,0,policy,0,,,,,
had,0,had,0,had,0,had,0,had,0,had,0,,,,,
been,0,been,0,been,0,been,0,been,0,been,0,,,,,
carried,1,carried,0,carried,0,carried,0,carried,0,carried,0,,,,,
Glasgow,0,Glasgow,0,Glasgow,0,Glasgow,0,Glasgow,0,Glasgow,0,,,,,
Clocks,0,Clocks,0,Clocks,0,Clocks,0,Clocks,0,Clocks,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
scientific,0,scientific,0,scientific,0,scientific,0,scientific,0,scientific,0,,,,,
instruments,0,instruments,0,instruments,0,instruments,0,instruments,0,instruments,0,,,,,
Wednesday,0,Wednesday,0,Wednesday,0,Wednesday,0,Wednesday,0,Wednesday,0,,,,,
11am,0,11am,0,11am,0,11am,0,11am,0,11am,0,,,,,
First,0,First,0,First,0,First,0,First,0,First,0,,,,,
they,0,they,0,they,0,they,0,they,0,they,0,,,,,
have,0,have,0,have,0,have,0,have,0,have,0,,,,,
to,0,to,0,to,0,to,0,to,0,to,0,,,,,
sell,0,sell,0,sell,0,sell,0,sell,0,sell,0,,,,,
their,0,their,0,their,0,their,0,their,0,their,0,,,,,
present,0,present,0,present,0,present,0,present,0,present,0,,,,,
house,0,house,0,house,0,house,0,house,0,house,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
two-bedroom,0,two-bedroom,0,two-bedroom,0,two-bedroom,0,two-bedroom,0,two-bedroom,0,,,,,
cottage,0,cottage,0,cottage,0,cottage,0,cottage,0,cottage,0,,,,,
in,0,in,0,in,0,in,0,in,0,in,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
centre,1,centre,0,centre,0,centre,0,centre,0,centre,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
town,0,town,0,town,0,town,0,town,0,town,0,,,,,
Their,0,Their,0,Their,0,Their,0,Their,0,Their,0,,,,,
South,0,South,0,South,0,South,0,South,0,South,0,,,,,
Molton,0,Molton,0,Molton,0,Molton,0,Molton,0,Molton,0,,,,,
cottage,0,cottage,0,cottage,0,cottage,0,cottage,0,cottage,0,,,,,
guide,1,guide,0,guide,0,guide,0,guide,0,guide,0,,,,,
price,0,price,0,price,0,price,0,price,0,price,0,,,,,
"£44,000-£46,000",0,"Â£44,000-Â£46,000",0,"Â£44,000-Â£46,000",0,"Â£44,000-Â£46,000",0,"Â£44,000-Â£46,000",0,"Â£44,000-Â£46,000",0,,,,,
is,0,is,0,is,0,is,0,is,0,is,0,,,,,
one,0,one,0,one,0,one,0,one,0,one,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
more+than,0,more+than,0,more+than,0,more+than,0,more+than,0,more+than,0,,,,,
20,0,20,0,20,0,20,0,20,0,20,0,,,,,
lots,0,lots,0,lots,0,lots,0,lots,0,lots,0,,,,,
to,0,to,0,to,0,to,0,to,0,to,0,,,,,
be,0,be,0,be,0,be,0,be,0,be,0,,,,,
put+up,1,put+up,0,put+up,0,put+up,0,put+up,0,put+up,0,,,,,
for,0,for,0,for,0,for,0,for,0,for,0,,,,,
sale,0,sale,0,sale,0,sale,0,sale,0,sale,0,,,,,
at,1,at,0,at,0,at,0,at,0,at,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
Barnstaple,0,Barnstaple,0,Barnstaple,0,Barnstaple,0,Barnstaple,0,Barnstaple,0,,,,,
auction,0,auction,0,auction,0,auction,0,auction,0,auction,0,,,,,
by,0,by,0,by,0,by,0,by,0,by,0,,,,,
Bristol,0,Bristol,0,Bristol,0,Bristol,0,Bristol,0,Bristol,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
West,0,West,0,West,0,West,0,West,0,West,0,,,,,
Property,0,Property,0,Property,0,Property,0,Property,0,Property,0,,,,,
Services,0,Services,0,Services,0,Services,0,Services,0,Services,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
one,0,one,0,one,0,one,0,one,0,one,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
more+than,0,more+than,0,more+than,0,more+than,0,more+than,0,more+than,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
hundred,0,hundred,0,hundred,0,hundred,0,hundred,0,hundred,0,,,,,
which,0,which,0,which,0,which,0,which,0,which,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
building+society,0,building+society,0,building+society,0,building+society,0,building+society,0,building+society,0,,,,,
subsidiary,0,subsidiary,0,subsidiary,0,subsidiary,0,subsidiary,0,subsidiary,0,,,,,
will,0,will,0,will,0,will,0,will,0,will,0,,,,,
be,0,be,0,be,0,be,0,be,0,be,0,,,,,
auctioning,0,auctioning,0,auctioning,0,auctioning,0,auctioning,0,auctioning,0,,,,,
in,0,in,0,in,0,in,0,in,0,in,0,,,,,
eight,0,eight,0,eight,0,eight,0,eight,0,eight,0,,,,,
West+Country,0,West+Country,0,West+Country,0,West+Country,0,West+Country,0,West+Country,0,,,,,
venues,0,venues,0,venues,0,venues,0,venues,0,venues,0,,,,,
over,1,over,0,over,0,over,0,over,0,over,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
three-day,0,three-day,0,three-day,0,three-day,0,three-day,0,three-day,0,,,,,
period,0,period,0,period,0,period,0,period,0,period,0,,,,,
With,1,With,0,With,0,With,0,With,0,With,0,,,,,
an,0,an,0,an,0,an,0,an,0,an,0,,,,,
auction,0,auction,0,auction,0,auction,0,auction,0,auction,0,,,,,
you,0,you,0,you,0,you,0,you,0,you,0,,,,,
've,0,'ve,0,'ve,0,'ve,0,'ve,0,'ve,0,,,,,
got,0,got,0,got,0,got,0,got,0,got,0,,,,,
to,0,to,0,to,0,to,0,to,0,to,0,,,,,
be,0,be,0,be,0,be,0,be,0,be,0,,,,,
certain,0,certain,0,certain,0,certain,0,certain,0,certain,0,,,,,
that,0,that,0,that,0,that,0,that,0,that,0,,,,,
at+least,0,at+least,0,at+least,0,at+least,0,at+least,0,at+least,0,,,,,
two,0,two,0,two,0,two,0,two,0,two,0,,,,,
buyers,0,buyers,0,buyers,0,buyers,0,buyers,0,buyers,0,,,,,
are,0,are,0,are,0,are,0,are,0,are,0,,,,,
there,0,there,0,there,0,there,0,there,0,there,0,,,,,
who,0,who,0,who,0,who,0,who,0,who,0,,,,,
can,0,can,0,can,0,can,0,can,0,can,0,,,,,
commit,1,commit,0,commit,0,commit,0,commit,0,commit,0,,,,,
themselves,0,themselves,0,themselves,0,themselves,0,themselves,0,themselves,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
difficulty,0,difficulty,0,difficulty,0,difficulty,0,difficulty,0,difficulty,0,,,,,
is,0,is,0,is,0,is,0,is,0,is,0,,,,,
that,0,that,0,that,0,that,0,that,0,that,0,,,,,
buyers,0,buyers,0,buyers,0,buyers,0,buyers,0,buyers,0,,,,,
who,0,who,0,who,0,who,0,who,0,who,0,,,,,
can,0,can,0,can,0,can,0,can,0,can,0,,,,,
proceed,1,proceed,0,proceed,0,proceed,0,proceed,0,proceed,0,,,,,
are,0,are,0,are,0,are,0,are,0,are,0,,,,,
few,0,few,0,few,0,few,0,few,0,few,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
far,1,far,0,far,0,far,0,far,0,far,0,,,,,
between,1,between,0,between,0,between,0,between,0,between,1,,,,,
said,0,said,0,said,0,said,0,said,0,said,0,,,,,
David,0,David,0,David,0,David,0,David,0,David,0,,,,,
Phillip,0,Phillip,0,Phillip,0,Phillip,0,Phillip,0,Phillip,0,,,,,
a,0,a,0,a,0,a,0,a,0,a,0,,,,,
director,0,director,0,director,0,director,0,director,0,director,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
Yorkshire,0,Yorkshire,0,Yorkshire,0,Yorkshire,0,Yorkshire,0,Yorkshire,0,,,,,
estate+agents,0,estate+agents,0,estate+agents,0,estate+agents,0,estate+agents,0,estate+agents,0,,,,,
Dacre,0,Dacre,0,Dacre,0,Dacre,0,Dacre,0,Dacre,0,,,,,
Son,0,Son,0,Son,0,Son,0,Son,0,Son,0,,,,,
and,0,and,0,and,0,and,0,and,0,and,0,,,,,
Hartley,0,Hartley,0,Hartley,0,Hartley,0,Hartley,0,Hartley,0,,,,,
Misunderstood,1,Misunderstood,0,Misunderstood,0,Misunderstood,0,Misunderstood,0,Misunderstood,0,,,,,
by,0,by,0,by,0,by,0,by,0,by,0,,,,,
Decca,0,Decca,0,Decca,0,Decca,0,Decca,0,Decca,0,,,,,
Records,0,Records,0,Records,0,Records,0,Records,0,Records,0,,,,,
he,0,he,0,he,0,he,0,he,0,he,0,,,,,
maintains,1,maintains,0,maintains,0,maintains,0,maintains,0,maintains,0,,,,,
I,0,I,0,I,0,I,0,I,0,I,0,,,,,
wan,0,wan,0,wan,0,wan,0,wan,0,wan,0,,,,,
na,0,na,0,na,0,na,0,na,0,na,0,,,,,
play,0,play,0,play,0,play,0,play,0,play,0,,,,,
ma,0,ma,0,ma,0,ma,0,ma,0,ma,0,,,,,
music,0,music,0,music,0,music,0,music,0,music,0,,,,,
ma,0,ma,0,ma,0,ma,0,ma,0,ma,0,,,,,
way,1,way,0,way,0,way,0,way,0,way,0,,,,,
But,0,But,0,But,0,But,0,But,0,But,0,,,,,
it,0,it,0,it,0,it,0,it,0,it,0,,,,,
was,0,was,0,was,0,was,0,was,0,was,0,,,,,
Gerry,0,Gerry,0,Gerry,0,Gerry,0,Gerry,0,Gerry,0,,,,,
Conlon,0,Conlon,0,Conlon,0,Conlon,0,Conlon,0,Conlon,0,,,,,
account,0,account,0,account,0,account,0,account,0,account,0,,,,,
of,0,of,0,of,0,of,0,of,0,of,0,,,,,
being,0,being,0,being,0,being,0,being,0,being,0,,,,,
interrogated,0,interrogated,0,interrogated,0,interrogated,0,interrogated,0,interrogated,0,,,,,
after,1,after,0,after,0,after,0,after,0,after,0,,,,,
the,0,the,0,the,0,the,0,the,0,the,0,,,,,
Guildford,0,Guildford,0,Guildford,0,Guildford,0,Guildford,0,Guildford,0,,,,,
bombings,0,bombings,0,bombings,0,bombings,0,bombings,0,bombings,0,,,,,
that,0,that,0,that,0,that,0,that,0,that,0,,,,,
made,1,made,0,made,0,made,0,made,0,made,0,,,,,
