word,DELMET,wordcat,word_10,label_10,word_22,label_22,word_21,label_21,word_5,label_5,word_1,label_1
monastery,0,N,monastery,0,monastery,0,monastery,0,monastery,0,Ahlbergs,0
there,0,AV,there,0,there,0,there,0,there,0,relationship,0
Just+as+so,0,AV + CJ + AV,Just+as+so,0,Just+as+so,0,Just,0,Just+as+so,0,lot,0
Thomson,0,N,Thomson,0,Thomson,0,as,0,Thomson,0,marriage,0
transferred,1,V,transferred,0,transferred,0,so,0,transferred,0,see,0
Stein,0,N,Stein,0,Stein,0,Thomson,0,Stein,0,author,0
literary,0,AJ,literary,1,literary,1,transferred,0,literary,0,illustrator,0
abstraction,0,N,abstraction,0,abstraction,1,Stein,0,abstraction,0,separate,0
to,1,PR,to,0,to,0,literary,0,to,0,roles,0
music,0,N,music,0,music,0,abstraction,1,music,0,partnership,0
life,2,N,life,0,life,0,to,0,life,0,book-makers,0
from,2,PR,from,0,from,0,music,0,from,0,contributing,0
sitter,2,N,sitter,0,sitter,0,life,0,sitter,0,equally,0
drawing,2,V,drawing,0,drawing,0,from,0,drawing,0,process,0
technique,2,N,technique,0,technique,0,sitter,0,technique,0,holding,0
painter,2,N,painter,0,painter,0,drawing,0,painter,0,meetings,0
employ,2,V,employ,1,employ,0,technique,0,employ,0,children,0
portraits,2,N,portraits,0,portraits,0,painter,0,portraits,0,telecottage,0
these,2,DT,these,0,these,0,employ,0,these,0,store,0
unusually,0,AV,unusually,0,unusually,0,portraits,0,unusually,0,people,0
the,0,AT,the,0,the,0,these,0,the,0,walks,1
of,0,PR,of,0,of,0,unusually,0,of,0,life,0
the,0,AT,the,0,the,0,the,0,the,0,came,0
an,0,AT,an,0,an,0,of,0,an,0,entrepreneurs,0
ideal,0,AJ,ideal,1,ideal,0,the,0,ideal,1,spouses,0
combination,0,N,combination,0,combination,0,an,0,combination,0,shop+assistants,0
of,0,PR,of,0,of,0,ideal,0,of,0,craftspeople,0
Thomson,0,N,Thomson,0,Thomson,0,combination,0,Thomson,0,children,0
habit,1,N,habit,0,habit,0,of,0,habit,0,derisive,1
of,0,PR,of,0,of,0,Thomson,0,of,0,chants,0
immediate,1,AJ,immediate,1,immediate,0,habit,0,immediate,1,bad,0
response,1,N,response,0,response,0,of,0,response,0,humiliation,0
with,1,PR,with,0,with,0,immediate,0,with,0,side,0
an,0,AT,an,0,an,0,response,0,an,0,made,0
actual,0,AJ,actual,0,actual,0,with,0,actual,0,start,0
subject,1,N,subject,0,subject,0,an,0,subject,0,season,0
In,1,PR,In,0,In,0,actual,0,In,0,week,0
some,0,DT,some,0,some,0,subject,0,some,0,Pontypool,0
cases,0,N,cases,0,cases,0,In,0,cases,0,going-over,0
Labour,0,N,Labour,0,Labour,0,some,0,Labour,0,short,0
quangos,0,N,quangos,0,quangos,0,cases,0,quangos,0,players,0
merge,1,V,merge,0,merge,0,Labour,0,merge,0,Ron,0
existing,0,AJ,existing,0,existing,0,quangos,0,existing,0,Todd,0
ones,0,N,ones,0,ones,0,merge,0,ones,0,general,0
or,0,CJ,or,0,or,0,existing,0,or,0,secretary,0
replace,1,V,replace,0,replace,0,ones,0,replace,0,transport,0
well-established,0,AJ,well-established,0,well-established,0,or,0,well-established,0,workers,0
bodies,1,N,bodies,0,bodies,0,replace,0,bodies,0,union,0
The,0,AT,The,0,The,0,well-established,0,The,0,vote,0
success,0,N,success,0,success,0,bodies,0,success,0,nuclear,0
of,0,PR,of,0,of,0,The,0,of,0,defence,0
the,0,AT,the,0,the,0,success,0,the,0,policy,0
Ahlbergs,0,N,Ahlbergs,0,Ahlbergs,0,of,0,Ahlbergs,0,yield,0
working,0,N,working,1,working,0,the,0,working,0,majority,0
relationship,0,N,relationship,0,relationship,0,Ahlbergs,0,relationship,0,predicted,0
must,0,V,must,0,must,0,working,0,must,0,right-wingers,0
have,0,V,have,0,have,0,relationship,1,have,0,warned,0
a,0,AT,a,0,a,0,must,0,a,0,party,0
lot,0,N,lot,0,lot,0,have,0,lot,0,leaders,0
to,0,TO,to,0,to,0,a,0,to,0,expect,0
do,0,V,do,0,do,0,lot,0,do,0,everybody,0
with,1,PR,with,0,with,0,to,0,with,0,goose-step,1
their,0,DP,their,0,their,0,do,0,their,0,direction,0
long,1,AJ,long,0,long,0,with,0,long,0,policy,0
and,0,CJ,and,0,and,0,their,0,and,0,carried,0
happy,1,AJ,happy,1,happy,0,long,0,happy,0,Glasgow,0
marriage,0,N,marriage,0,marriage,0,and,0,marriage,0,Clocks,0
They,0,PN,They,0,They,0,happy,0,They,0,scientific,1
see,1,V,see,0,see,0,marriage,0,see,0,instruments,0
themselves,0,PN,themselves,0,themselves,0,They,0,themselves,0,sell,0
not,0,XX,not,0,not,0,see,0,not,0,house,0
as,0,CJ,as,0,as,0,themselves,0,as,0,cottage,0
author,0,N,author,0,author,0,not,0,author,0,centre,0
and,0,CJ,and,0,and,0,as,0,and,0,town,0
illustrator,0,N,illustrator,0,illustrator,0,author,0,illustrator,0,South,0
with,1,PR,with,0,with,0,and,0,with,0,Molton,0
separate,1,AJ,separate,0,separate,0,illustrator,0,separate,0,cottage,0
roles,1,N,roles,0,roles,0,with,0,roles,0,guide,0
but,0,CJ,but,0,but,0,separate,0,but,0,price,0
as,0,PR,as,0,as,0,roles,0,as,0,lots,0
a,0,AT,a,0,a,0,but,0,a,0,put,0
partnership,0,N,partnership,0,partnership,1,as,0,partnership,0,sale,0
of,0,PR,of,0,of,0,a,0,of,0,auction,0
book-makers,0,N,book-makers,0,book-makers,0,partnership,1,book-makers,0,Bristol,0
contributing,0,V,contributing,0,contributing,0,of,0,contributing,0,West,0
equally,0,AV,equally,0,equally,0,book-makers,0,equally,0,Property,0
to,1,PR,to,0,to,0,contributing,0,to,0,Services,0
the,0,AT,the,0,the,0,equally,0,the,0,hundred,0
process,0,N,process,0,process,0,to,0,process,0,building+society,0
By,0,PR,By,0,By,0,the,0,By,0,subsidiary,0
holding,1,V,holding,0,holding,0,process,0,holding,0,auctioning,0
open,1,AJ,open,0,open,0,By,0,open,0,West+Country,0
meetings,0,N,meetings,0,meetings,0,holding,0,meetings,0,venues,0
for,0,PR,for,0,for,0,open,0,for,0,period,0
children,0,N,children,0,children,0,meetings,0,children,0,auction,0
and,0,CJ,and,0,and,0,for,0,and,0,certain,0
having,0,V,having,0,having,0,children,0,having,0,buyers,0
the,0,AT,the,0,the,0,and,0,the,0,commit,0
telecottage,0,N,telecottage,0,telecottage,0,having,0,telecottage,0,themselves,0
above,0,PR,above,0,above,0,the,0,above,0,difficulty,0
the,0,AT,the,0,the,0,telecottage,0,the,0,buyers,0
local,0,AJ,local,0,local,0,above,0,local,0,proceed,0
store,0,N,store,0,store,0,the,0,store,0,far,1
people,0,N,people,0,people,0,local,0,people,0,David,0
of,0,PR,of,0,of,0,store,0,of,0,Phillip,0
all,0,DT,all,0,all,0,people,0,all,0,director,0
walks,1,N,walks,1,walks,1,of,0,walks,0,Yorkshire,0
of,0,PR,of,0,of,0,all,0,of,0,estate+agents,0
life,0,N,life,0,life,0,walks,0,life,0,Dacre,0
came+in,0,V + AV,came+in,0,came+in,0,of,0,came+in,0,Son,0
small-scale,0,AJ,small-scale,0,small-scale,0,life,1,small-scale,0,Hartley,0
entrepreneurs,0,N,entrepreneurs,0,entrepreneurs,0,came,0,entrepreneurs,0,Misunderstood,0
and,0,CJ,and,0,and,0,in,0,and,0,Decca,0
their,0,DP,their,0,their,0,small-scale,0,their,0,Records,0
spouses,0,N,spouses,0,spouses,0,entrepreneurs,0,spouses,0,maintains,0
shop+assistants,0,N + N,shop+assistants,0,shop+assistants,0,and,0,shop+assistants,0,play,0
craftspeople,0,N,craftspeople,0,craftspeople,0,their,0,craftspeople,0,music,0
and,0,CJ,and,0,and,0,spouses,0,and,0,way,0
children,0,N,children,0,children,0,shop,0,children,0,Gerry,0
As+if,0,CJ,As+if,0,As+if,0,assistants,0,As+if,0,Conlon,0
24-17,0,CR,24-17,0,24-17,0,craftspeople,0,24-17,0,account,0
and,0,CJ,and,0,and,0,and,0,and,0,interrogated,0
derisive,0,AJ,derisive,1,derisive,1,children,0,derisive,0,Guildford,0
chants,1,N,chants,0,chants,0,As,0,chants,0,bombings,0
of,0,PR,of,0,of,0,if,0,of,0,made,0
Easy,0,AJ,Easy,0,Easy,0,24-17,0,Easy,0,scalp,1
easy,0,AJ,easy,0,easy,0,and,0,easy,0,crawl,0
were,0,V,were,0,were,0,derisive,0,were,0,Government,0
not,0,XX,not,0,not,0,chants,0,not,0,compounds,0
bad,0,AJ,bad,1,bad,0,of,0,bad,0,problems,0
enough,0,AV,enough,0,enough,0,Easy,0,enough,0,sets,0
this,1,DT,this,0,this,0,easy,0,this,0,parameters,0
humiliation,0,N,humiliation,0,humiliation,1,were,0,humiliation,0,fail,0
was,0,V,was,0,was,0,not,0,was,0,reflect,0
against,1,PR,against,0,against,0,bad,0,against,0,value,0
a,0,AT,a,0,a,0,enough,0,a,0,country,0
side,1,N,side,0,side,0,this,0,side,0,gets,0
who,0,PN,who,0,who,0,humiliation,1,who,0,system,0
have,0,V,have,0,have,0,was,0,have,0,run,0
made,1,V,made,0,made,0,against,0,made,0,efficiently,0
a,0,AT,a,0,a,0,a,0,a,0,shift,0
wretched,1,AJ,wretched,0,wretched,1,side,0,wretched,0,people,0
start,0,N,start,0,start,0,who,0,start,0,destinations,0
to,1,PR,to,0,to,0,have,0,to,0,exemplary,1
the,0,AT,the,0,the,0,made,0,the,0,speed,0
season,0,N,season,0,season,0,a,0,season,0,safety,0
a,0,AT,a,0,a,0,wretched,0,a,0,Europe,0
week,0,N,week,0,week,0,start,0,week,0,demonstrates,0
earlier,0,AV,earlier,0,earlier,0,to,0,earlier,0,Francesca,0
Pontypool,0,N,Pontypool,0,Pontypool,0,the,0,Pontypool,0,Simon,0
had,0,V,had,0,had,0,season,0,had,0,describes,0
going-over,2,N,going-over,0,going-over,0,a,0,going-over,0,pitfalls,0
given,2,V,given,0,given,0,week,0,given,0,avoid,0
them,0,PN,them,0,them,0,earlier,0,them,0,Travel,0
a,0,AT,a,0,a,0,Pontypool,0,a,0,Copse,0
35-6,0,CR,35-6,0,35-6,0,had,0,35-6,0,robbers,0
and,0,CJ,and,0,and,0,going-over,0,and,0,Christopher,0
were,0,V,were,0,were,0,given,0,were,0,Somerville,0
short,1,AJ,short,0,short,0,them,0,short,0,sees,0
of,0,PR,of,0,of,0,a,0,of,0,woodland,0
at+least,0,AV,at+least,0,at+least,0,35-6,0,at+least,0,usurped,1
half-a-dozen,0,CR,half-a-dozen,0,half-a-dozen,0,and,0,half-a-dozen,0,ancient,0
first-choice,0,AJ,first-choice,0,first-choice,0,were,0,first-choice,0,cattle,0
players,0,N,players,0,players,0,short,0,players,0,thieves,0
Ron,0,N,Ron,0,Ron,0,of,0,Ron,0,Cheviot,0
Todd,0,N,Todd,0,Todd,0,at,0,Todd,0,Hills,0
the,0,AT,the,0,the,0,least,0,the,0,nothing,0
general,0,AJ,general,0,general,0,half-a-dozen,0,general,0,all,0
secretary,0,N,secretary,0,secretary,0,first-choice,0,secretary,0,Con,0
of,0,PR,of,0,of,0,players,0,of,0,Maj,0
the,0,AT,the,0,the,0,Ron,0,the,0,villagers,0
transport,0,N,transport,0,transport,0,Todd,0,transport,0,Ramsala,0
workers,0,N,workers,0,workers,0,the,0,workers,0,recipients,0
union,0,N,union,0,union,0,general,0,union,0,Palm,0
said,0,V,said,0,said,0,secretary,0,said,0,Beach,0
that,0,CJ,that,0,that,0,of,0,that,0,dollars,0
today,0,AV,today,0,today,0,the,0,today,0,explained,0
vote,0,N,vote,0,vote,0,transport,0,vote,0,cameras,0
on,1,PR,on,0,on,0,workers,0,on,0,desperately,0
the,0,AT,the,0,the,0,union,0,the,0,needed,0
multilaterist,0,N,multilaterist,0,multilaterist,0,said,0,multilaterist,0,clinic,0
nuclear,0,AJ,nuclear,0,nuclear,0,that,0,nuclear,0,collaborated,0
defence,0,N,defence,1,defence,1,today,0,defence,0,directly,1
policy,0,N,policy,0,policy,0,vote,0,policy,0,result,0
would,0,V,would,0,would,0,on,0,would,0,historical,0
not,0,XX,not,0,not,0,the,0,not,0,significance,0
yield,1,V,yield,0,yield,0,multilaterist,0,yield,0,effort,0
the,0,AT,the,0,the,0,nuclear,0,the,0,Department,0
massive,1,AJ,massive,0,massive,0,defence,0,massive,0,Economic,0
and,0,CJ,and,0,and,0,policy,0,and,0,Affairs,0
overwhelming,0,AJ,overwhelming,0,overwhelming,0,would,0,overwhelming,0,set+up,0
majority,0,N,majority,0,majority,0,not,0,majority,0,Harold,0
predicted,0,V,predicted,0,predicted,0,yield,0,predicted,0,Wilson,0
by,0,PR,by,0,by,0,the,0,by,0,headed,0
right-wingers,1,N,right-wingers,0,right-wingers,0,massive,0,right-wingers,0,George,0
and,0,CJ,and,0,and,0,and,0,and,0,Brown,0
he,0,PN,he,0,he,0,overwhelming,0,he,0,ended,0
warned,0,V,warned,0,warned,0,majority,0,warned,0,futile,1
that,0,CJ,that,0,that,0,predicted,0,that,0,departmental,0
party,0,N,party,0,party,0,by,0,party,0,ministerial,0
leaders,0,N,leaders,0,leaders,0,right-wingers,0,leaders,0,infighting,0
could,0,V,could,0,could,0,and,0,could,0,DTI,0
not,0,XX,not,0,not,0,he,0,not,0,override,0
expect,0,V,expect,0,expect,0,warned,0,expect,0,Treasury,0
everybody,0,PN,everybody,0,everybody,0,that,0,everybody,0,new,0
to,0,PR,to,0,to,0,party,0,to,0,powerful,0
goose-step,2,N,goose-step,0,goose-step,1,leaders,0,goose-step,0,Department,0
in,1,PR,in,0,in,0,could,0,in,0,Consumer,0
the,0,AT,the,0,the,0,not,0,the,0,Affairs,0
same,0,DT,same,0,same,0,expect,0,same,0,antagonise,0
direction,1,N,direction,0,direction,0,everybody,0,direction,0,DTI,0
once,0,CJ,once,0,once,0,to,0,once,0,Labour,0
the,0,AT,the,0,the,0,goose-step,1,the,0,acquiescing,1
policy,0,N,policy,0,policy,0,in,0,policy,0,democratic,0
had,0,V,had,0,had,0,the,0,had,0,outrage,0
been,0,V,been,0,been,0,same,0,been,0,continued,0
carried,1,V,carried,0,carried,0,direction,0,carried,0,arguing,0
Glasgow,0,N,Glasgow,0,Glasgow,0,once,0,Glasgow,0,Conservatives,0
Clocks,0,N,Clocks,0,Clocks,0,the,0,Clocks,0,got,0
and,0,CJ,and,0,and,0,policy,0,and,0,away,0
scientific,0,AJ,scientific,0,scientific,0,had,0,scientific,0,undemocratic,0
instruments,0,N,instruments,0,instruments,0,been,0,instruments,0,long,0
Wednesday,0,N,Wednesday,0,Wednesday,0,carried,0,Wednesday,0,Labour,0
11am,0,AV,11am,0,11am,0,Glasgow,0,11am,0,turn,0
First,0,OR,First,0,First,0,Clocks,0,First,0,telecottages,0
they,0,PN,they,0,they,0,and,0,they,0,become,0
have,0,V,have,0,have,0,scientific,0,have,0,self-financing,0
to,0,TO,to,0,to,0,instruments,0,to,0,established,0
sell,0,V,sell,0,sell,0,Wednesday,0,sell,0,need,0
their,0,DP,their,0,their,0,11am,0,their,0,initial,0
present,0,AJ,present,0,present,0,First,0,present,0,subsidy,0
house,0,N,house,0,house,0,they,0,house,0,Villages,0
a,0,AT,a,0,a,0,have,0,a,0,expensive,0
two-bedroom,0,AJ,two-bedroom,0,two-bedroom,0,to,0,two-bedroom,0,live,0
cottage,0,N,cottage,0,cottage,0,sell,0,cottage,0,become,0
in,0,PR,in,0,in,0,their,0,in,0,vibrant,0
the,0,AT,the,0,the,0,present,0,the,0,communities,0
centre,1,N,centre,0,centre,0,house,0,centre,0,local,0
of,0,PR,of,0,of,0,a,0,of,0,people,0
the,0,AT,the,0,the,0,two-bedroom,0,the,0,earn,0
town,0,N,town,0,town,0,cottage,0,town,0,enough,0
Their,0,DP,Their,0,Their,0,in,0,Their,0,continue,0
South,0,N,South,0,South,0,the,0,South,0,living,0
Molton,0,N,Molton,0,Molton,0,centre,0,Molton,0,Smith,0
cottage,0,N,cottage,0,cottage,0,of,0,cottage,0,said,0
guide,1,V,guide,0,guide,0,the,0,guide,0,interview,0
price,0,N,price,0,price,0,town,0,price,0,BBC,0
"£44,000-£46,000",0,N,"Â£44,000-Â£46,000",0,"Â£44,000-Â£46,000",0,Their,0,"Â£44,000-Â£46,000",0,television,0
is,0,V,is,0,is,0,South,0,is,0,Record,0
one,0,CR,one,0,one,0,Molton,0,one,0,expect,0
of,0,PR,of,0,of,0,cottage,0,of,0,colleagues,0
more+than,0,AV,more+than,0,more+than,0,guide,0,more+than,0,spend,0
20,0,CR,20,0,20,0,price,0,20,0,spend,0
lots,0,PN,lots,0,lots,0,"Â£44,000-Â£46,000",0,lots,0,Doctors,0
to,0,TO,to,0,to,0,is,0,to,0,worried,0
be,0,V,be,0,be,0,one,0,be,0,women,0
put+up,1,V + AV,put+up,0,put+up,0,of,0,put+up,0,turning,0
for,0,PR,for,0,for,0,more,0,for,0,prostitution,0
sale,0,N,sale,0,sale,0,than,0,sale,0,finance,0
at,1,PR,at,0,at,0,20,0,at,0,habit,0
the,0,AT,the,0,the,0,lots,0,the,0,risk,0
Barnstaple,0,N,Barnstaple,0,Barnstaple,0,to,0,Barnstaple,0,contracting,0
auction,0,N,auction,0,auction,0,be,0,auction,0,Aids,0
by,0,PR,by,0,by,0,put,0,by,0,drink,0
Bristol,0,N,Bristol,0,Bristol,0,up,0,Bristol,0,thirsty,0
and,0,CJ,and,0,and,0,for,0,and,0,Globe,0
West,0,N,West,0,West,0,sale,0,West,0,artichokes,0
Property,0,N,Property,0,Property,0,at,0,Property,0,sprouting,0
Services,0,N,Services,0,Services,0,the,0,Services,0,new,0
and,0,CJ,and,0,and,0,Barnstaple,0,and,0,leaves,0
one,0,CR,one,0,one,0,auction,0,one,0,need,0
of,0,PR,of,0,of,0,by,0,of,0,protection,0
more+than,0,AV,more+than,0,more+than,0,Bristol,0,more+than,0,frost,0
a,0,AT,a,0,a,0,and,0,a,0,cold,0
hundred,0,CR,hundred,0,hundred,0,West,0,hundred,0,areas,0
which,0,DT,which,0,which,0,Property,0,which,0,trying,0
the,0,AT,the,0,the,0,Services,0,the,0,smooth,1
building+society,0,N + N,building+society,0,building+society,0,and,0,building+society,0,path,0
subsidiary,0,N,subsidiary,0,subsidiary,0,one,0,subsidiary,0,purchasers,0
will,0,V,will,0,will,0,of,0,will,0,streamline,0
be,0,V,be,0,be,0,more,0,be,0,system,0
auctioning,0,V,auctioning,0,auctioning,0,than,0,auctioning,0,says,0
in,0,PR,in,0,in,0,a,0,in,0,Graham,0
eight,0,CR,eight,0,eight,0,hundred,0,eight,0,Harrison,0
West+Country,0,N + N,West+Country,0,West+Country,0,which,0,West+Country,0,pointing+out,0
venues,0,N,venues,0,venues,0,the,0,venues,0,live,0
over,1,PR,over,0,over,0,building,0,over,0,telephone,0
a,0,AT,a,0,a,0,society,0,a,0,bidding,0
three-day,0,AJ,three-day,0,three-day,0,subsidiary,0,three-day,0,available,0
period,0,N,period,0,period,0,will,0,period,0,unable,0
With,1,PR,With,0,With,0,be,0,With,0,attend,0
an,0,AT,an,0,an,0,auctioning,0,an,0,collective,0
auction,0,N,auction,0,auction,0,in,0,auction,0,property,0
you,0,PN,you,0,you,0,eight,0,you,0,auctions,0
've,0,V,'ve,0,'ve,0,West,0,'ve,0,take,0
got,0,V,got,0,got,0,Country,0,got,0,place,0
to,0,TO,to,0,to,0,venues,0,to,0,regularly,0
be,0,V,be,0,be,0,over,0,be,0,London,0
certain,0,AJ,certain,0,certain,0,a,0,certain,0,often,0
that,0,CJ,that,0,that,0,three-day,0,that,0,primarily,0
at+least,0,AV,at+least,0,at+least,0,period,0,at+least,0,investors,0
two,0,CR,two,0,two,0,With,0,two,0,house-hunters,0
buyers,0,N,buyers,0,buyers,0,an,0,buyers,0,country,0
are,0,V,are,0,are,0,auction,0,are,0,areas,0
there,0,AV,there,0,there,0,you,0,there,0,typical,0
who,0,PN,who,0,who,0,'ve,0,who,0,auction,0
can,0,V,can,0,can,0,got,0,can,0,just,0
commit,1,V,commit,0,commit,0,to,0,commit,0,one,0
themselves,0,PN,themselves,0,themselves,0,be,0,themselves,0,house,0
and,0,CJ,and,0,and,0,certain,0,and,0,likely,0
the,0,AT,the,0,the,0,that,0,the,0,place,0
difficulty,0,N,difficulty,0,difficulty,0,at,0,difficulty,0,nearby,0
is,0,V,is,0,is,0,least,0,is,0,pub,0
that,0,CJ,that,0,that,0,two,0,that,0,village,0
buyers,0,N,buyers,0,buyers,0,buyers,0,buyers,0,hall,0
who,0,PN,who,0,who,0,are,0,who,0,supertram,0
can,0,V,can,0,can,0,there,0,can,0,concept,0
proceed,1,V,proceed,0,proceed,0,who,0,proceed,0,spread,0
are,0,V,are,0,are,0,can,0,are,0,major,0
few,0,DT,few,0,few,0,commit,0,few,0,cities,0
and,0,CJ,and,0,and,0,themselves,0,and,0,next,0
far,1,AV,far,0,far,0,and,0,far,0,decade,0
between,1,AV,between,0,between,0,the,0,between,0,Blackpool,0
said,0,V,said,0,said,0,difficulty,0,said,0,alone,0
David,0,N,David,0,David,0,is,0,David,0,use,0
Phillip,0,N,Phillip,0,Phillip,0,that,0,Phillip,0,traditional,0
a,0,AT,a,0,a,0,buyers,0,a,0,double-deckers,0
director,0,N,director,0,director,0,who,0,director,0,Armstrong,0
of,0,PR,of,0,of,0,can,0,of,0,seems,0
Yorkshire,0,N,Yorkshire,0,Yorkshire,0,proceed,0,Yorkshire,0,least,0
estate+agents,0,N + N,estate+agents,0,estate+agents,0,are,0,estate+agents,0,permanently,0
Dacre,0,N,Dacre,0,Dacre,0,few,0,Dacre,0,damaged,0
Son,0,N,Son,0,Son,0,and,0,Son,0,surface,0
and,0,CJ,and,0,and,0,far,0,and,0,strain,0
Hartley,0,N,Hartley,0,Hartley,0,between,1,Hartley,0,start,0
Misunderstood,1,V,Misunderstood,0,Misunderstood,1,said,0,Misunderstood,0,technically,0
by,0,PR,by,0,by,0,David,0,by,0,ill-equipped,0
Decca,0,N,Decca,0,Decca,0,Phillip,0,Decca,0,avert,0
Records,0,N,Records,0,Records,0,a,0,Records,0,disaster,0
he,0,PN,he,0,he,0,director,0,he,0,cope,0
maintains,1,V,maintains,0,maintains,0,of,0,maintains,0,consequences,0
I,0,PN,I,0,I,0,Yorkshire,0,I,0,disaster,0
wan,0,V,wan,0,wan,0,estate,0,wan,0,struck,0
na,0,TO,na,0,na,0,agents,0,na,0,strain,0
play,0,V,play,0,play,0,Dacre,0,play,0,commercial,0
ma,0,N,ma,0,ma,0,Son,0,ma,0,pressures,0
music,0,N,music,0,music,0,and,0,music,0,inquiry,0
ma,0,N,ma,0,ma,0,Hartley,0,ma,0,puts,0
way,1,N,way,0,way,0,Misunderstood,0,way,0,compromised,0
But,0,CJ,But,0,But,0,by,0,But,0,safety,0
it,0,PN,it,0,it,0,Decca,0,it,0,strain,0
was,0,V,was,0,was,0,Records,0,was,0,people,0
Gerry,0,N,Gerry,0,Gerry,0,he,0,Gerry,0,spot,0
Conlon,0,N,Conlon,0,Conlon,0,maintains,0,Conlon,0,cope,0
account,0,N,account,0,account,0,I,0,account,0,weary,1
of,0,PR,of,0,of,0,wan,0,of,0,gruesome,0
being,0,V,being,0,being,0,na,0,being,0,working,0
interrogated,0,V,interrogated,0,interrogated,0,play,0,interrogated,0,hours,0
after,1,PR,after,0,after,0,ma,0,after,0,senior,0
the,0,AT,the,0,the,0,music,0,the,0,signal,0
Guildford,0,N,Guildford,0,Guildford,0,ma,0,Guildford,0,technician,0
bombings,0,N,bombings,0,bombings,0,way,0,bombings,0,heads,0
that,0,CJ,that,0,that,0,But,0,that,0,list,0
made,1,V,made,0,made,0,it,0,made,0,culpable,0
the,0,AT,the,0,the,0,was,0,the,0,one,0
scalp,0,N,scalp,0,scalp,0,Gerry,0,scalp,0,day,0
crawl,1,N,crawl,0,crawl,1,Conlon,0,crawl,0,past,0
Government,0,N,Government,0,Government,0,account,0,Government,0,weeks,0
compounds,1,V,compounds,1,compounds,0,of,0,compounds,0,lacked,0
all,0,DT,all,0,all,0,being,0,all,0,adequate,0
these,1,DT,these,0,these,0,interrogated,0,these,0,training,0
problems,0,N,problems,0,problems,0,after,0,problems,0,bothered,0
when,0,CJ,when,0,when,0,the,0,when,0,refusing,0
it,0,PN,it,0,it,0,Guildford,0,it,0,keep,0
sets+down,1,V + AV,sets+down,0,sets+down,0,bombings,0,sets+down,0,open,0
working,0,V,working,1,working,0,that,0,working,0,two-way,0
parameters,0,N,parameters,0,parameters,0,made,0,parameters,0,radio,0
which,0,DT,which,0,which,0,the,0,which,0,links,0
fail,1,V,fail,0,fail,0,scalp,0,fail,0,crews,0
to,0,TO,to,0,to,0,crawl,1,to,0,ended,0
reflect,1,V,reflect,0,reflect,0,Government,0,reflect,0,proper,0
the,0,AT,the,0,the,0,compounds,1,the,0,emergency+service,0
value,1,N,value,0,value,0,all,0,value,0,law,0
the,0,AT,the,0,the,0,these,0,the,0,doubt,0
country,0,N,country,0,country,0,problems,0,country,0,Mrs,0
gets,1,V,gets,0,gets,0,when,0,gets,0,Bujok,0
from,1,PR,from,0,from,0,it,0,from,0,entitled,0
