sentence_id,context,DEL,split,examples,10_fold
a1f-fragment11_11,This is a clear example of the extension of the Prevention of Terrorism Act where criteria for stopping questioning and searching are purely subjective to the official involved,FALSE,test,,
a1f-fragment11_12,Will a person accent dress or skin colour indicate the potential terrorist or for that matter football hooligan or drug pusher,FALSE,test,,
a1f-fragment11_13,This is a recipe for fear and anxiety,TRUE,test,,
a1f-fragment11_1,It may mean the detention of innocent people and indeed their imprisonment,FALSE,test,,
a1f-fragment12_2,Letter Cardinal sins,FALSE,test,,
a1f-fragment12_3,From Mr JIMMY DONOGHUE,FALSE,test,,
a1f-fragment12_4,Sir The North-east publishers of Viz are nearer the truth than they realise with their soccer strip 29 September,FALSE,test,,
a1f-fragment12_1,Cardinal Hume has not only the cross bear of being a fervent Newcastle United supporter to he is also known to irreverent members of Mayfair Jesuit Farm Street Church by his initials George Basil Hume,TRUE,test,,
a1g-fragment26_2,Latecomers who continue to hope,FALSE,test,,
a1g-fragment26_3,From ANNE APPLEBAUM in Warsaw,FALSE,test,,
a1g-fragment26_4,DOZENS more East German refugees arrived outside the West German embassy yesterday seeking asylum and passage to the West including some who missed by only a few minutes a train that took more+than 800 of their compatriots to West Germany,FALSE,test,,
a1g-fragment26_5,Many of the new arrivals who waited in the street outside the embassy said they were convinced there would be another train for them,FALSE,test,,
a1g-fragment26_6,The one they missed pulled out from Warsaw East Station at 2.50am yesterday carrying 809 cheering East Germans bound for the Rhine region of West Germany,FALSE,test,,
a1g-fragment26_7,Once upon a time another German government let Lenin cross another Germany in a sealed train on his way to Russia,FALSE,test,,
a1g-fragment26_8,More+than 80 years later Lenin heirs are allowing refugees from their Communist regime escape in the opposite direction in an East German-made train travelling across East German territory,FALSE,test,,
a1g-fragment26_9,Among those leaving was Cornelia 22 a young East Berliner destined she said for West Berlin via a very circuitous route,FALSE,test,,
a1g-fragment26_10,I still do n't know if my family know where I am or if they will suffer from my decision,FALSE,test,,
a1g-fragment26_11,But I saw no other way out I did n't know if I would ever have a chance again,TRUE,test,,
a1g-fragment26_12,Some of the refugees had been living in Polish exile for as long as seven weeks while others arrived only a few hours before West German diplomats announced they could leave,FALSE,test,,
a1g-fragment26_13,Only two failed to go a new mother and her child who was born in a Polish hospital four days ago,FALSE,test,,
a1g-fragment26_14,The East German government decision to let the refugees leave across their own country came as a surprise to many including some West German diplomats,FALSE,test,,
a1g-fragment26_15,Some of the refugees originally refused to touch East German territory again but were reassured when two of the West German diplomats said they would accompany the train to ensure that the rules were followed,FALSE,test,,
a1g-fragment26_16,During the journey East German officials will enter the train and collect all East German passports,FALSE,train,,7
a1g-fragment26_17,West Germans will then issue new ones,FALSE,test,,
a1g-fragment26_18,Legally the refugees have been expelled from East Germany meaning that under current rules they can not return,FALSE,test,,
a1g-fragment26_1,According+to unofficial reports the arrangement was designed by the West German Foreign Minister Hans Dietrich Genscher the new Polish foreign minister Krzystof Skubiszewski and the Soviet Foreign Minister Eduard Shevardnadze who met recently at the United Nations in New York,FALSE,test,,
a1g-fragment27_2,Communists allow burial of Montenegro last king,FALSE,test,,
a1g-fragment27_3,From MARCUS TANNER in Cetinje Yugoslavia,FALSE,test,,
a1g-fragment27_4,THE PEOPLE of Montenegro yesterday welcomed home the remains of Nicholas I their first and last king after 70 years exile in Italy in belated fulfilment of his last will and testament,FALSE,test,,
a1g-fragment27_5,Thousands of Montenegrins many in national costume waited at the quayside in Bar for the Italian warship that would bring him home,FALSE,test,,
a1g-fragment27_6,Then they formed a slow procession behind the coffin into the mountains to the old royal capital of Cetinje for his reburial in the monastery there,FALSE,train,,1
a1g-fragment27_7,What was surely the last ever Montenegrin royal event was masterminded by the republic new Communist leadership which has abruptly stopped describing Nicholas as a class enemy to ride the same wave of popular patriotism and royal fervour which swept Serbia in the recent celebrations of the 600th anniversary of the battle of Kosovo,TRUE,test,,
a1g-fragment27_8,The latest biography now calls him an outstanding statesman warrior and man of letters,FALSE,test,,
a1g-fragment27_9,If I die abroad in exile let my body rest in a temporary grave until my mortal remains be transferred to our dear homeland said the Montenegrin President Branko Kostic reading the royal will and testament to the crowds in Cetinje Square who carried flags and portraits of Nicholas and his queen Milena,FALSE,test,,
a1g-fragment27_10,Today the people of Montenegro fulfill the wish of their first and last king guided by innate love and respect for their history he went+on,FALSE,test,,
a1g-fragment27_11,Our tourist organisations are counting on big profits said Srdan Darmanovic a member of the Montenegrin Central Committee,FALSE,test,,
a1g-fragment27_12,This will be good for the Montenegrin economy too,FALSE,test,,
a1g-fragment27_13,Montenegro young and go-ahead leadership which came to power this year amid furious popular dissatisfaction with the old men in grey suits sponsored the gathering of Nicholas surviving relatives the first royal reunion organised by a Communist government,FALSE,test,,
a1g-fragment27_14,A letter dropped through the post from the President of the Socialist Republic of Montenegro inviting me to the funeral said John Kennedy a Conservative+Party member who lives in Barking and is a distant relative of Nicholas,FALSE,train,,4
a1g-fragment27_15,Montenegro sudden rehabilitation of Nicholas memory is a popular move,FALSE,test,,
a1g-fragment27_16,He liberated us from the Turks and fought for our independence said a small boy who waited at the quayside amid a jostling crowd of former monarchs visiting Serbian bishops and television crews,FALSE,test,,
a1g-fragment27_17,Marko Radoman 103 and a veteran of both Balkan wars was given a place at the front as one of the few with personal memories of Nicholas reign,FALSE,test,,
a1g-fragment27_18,For a man whom Rebecca West a contemporary Balkan observer called repulsive and treacherous for deserting his Serbian son-in-law King Alexander in the First World War it is a sepia-tinted view of history,TRUE,test,,
a1g-fragment27_19,Nicholas was known as the uncle of Europe for his success in marrying his beautiful but penniless daughters into the grander royal houses of Russia Serbia and Italy,TRUE,test,,
a1g-fragment27_20,This furthered his long-term ambition to rule a large south Slav kingdom when the Ottoman Empire finally collapsed,FALSE,train,,5
a1g-fragment27_21,One daughter a grand duchess of Russia even gained a footnote in history by introducing an unknown monk Rasputin to the Russian Tsarina Alexandra,FALSE,train,,3
a1g-fragment27_22,In his minute inaccessible capital which today has only 15 inhabitants Nicholas erected a miniature European court and an exquisitely furnished Victorian palace,FALSE,train,,8
a1g-fragment27_23,He even persuaded 12 European powers to turn cottages into full embassies,FALSE,test,,
a1g-fragment27_24,It was a fair achievement in a town which an earlier observer described as 44 hovels,FALSE,test,,
a1g-fragment27_1,But Nicholas grand design collapsed in 1918 when his Serbian son-in-law Alexander deposed him and incorporated Montenegro into Yugoslavia,FALSE,test,,
a1h-fragment05_2,Obituary Virgil Thomson,FALSE,test,,
a1h-fragment05_3,By PETER DICKINSON,FALSE,test,,
a1h-fragment05_4,VIRGIL THOMSON was a composer and writer of originality courage and wit formed by a unique mixture of American and French influences,FALSE,test,,
a1h-fragment05_5,Thomson was born in Kansas City in 1896 studied at Harvard and then mostly lived in Paris until 1940,FALSE,test,,
a1h-fragment05_6,His Missouri childhood gave him access to Baptist hymns and church music but at Harvard he was introduced to the writings of Gertrude Stein and the music of Erik Satie,FALSE,test,,
a1h-fragment05_7,These influences laid the foundations for the blend of the naive and the sophisticated which is the hallmark of Thomson maturity,TRUE,test,,
a1h-fragment05_8,Like many young American composers he studied with Nadia Boulanger but after 1925 set+out to achieve the discipline of spontaneity which he found in Stein writings,FALSE,test,,
a1h-fragment05_9,When he collaborated directly with her in opera the result was of historical significance,FALSE,train,,2
a1h-fragment05_10,First came Four Saints in Three Acts produced in 1934 and then The Mother of Us All 1947 which demonstrated a new kind of plotless opera only now reaching a wider currency through the stage works of Philip Glass,FALSE,test,,
a1h-fragment05_11,In Four Saints Thomson informality was given free reign since he first of all improvised the music at the piano then when it stuck wrote+down it to a figured bass,TRUE,test,,
a1h-fragment05_12,He said I had wondered whether a piece so drenched in Anglican chant running from Gilbert and Sullivan to Morning Prayer and back could rise and sail,TRUE,test,,
a1h-fragment05_13,But the resulting mixture of hymns folksy tunes and recitatives at times of intoxicating banality was a sensation,FALSE,test,,
a1h-fragment05_14,The opera like Gershwin Porgy and Bess the following year used an all-Black cast and the staging and choreography gave it a British connection since it was by Frederick Ashton,FALSE,test,,
a1h-fragment05_15,The Mother of Us All shows more continuity but again much depends upon production in what is still a largely non-narrative opera,FALSE,test,,
a1h-fragment05_16,In 1936 three years before Aaron Copland Thomson started writing film scores which were a model of unobtrusive clarity and pertinence combining American materials to suit documentaries such+as The Plow that Broke the Plains and The River with the musique d'ameublement approach of Satie,FALSE,test,,
a1h-fragment05_17,His score for the film Louisiana Story was awarded the Pulitzer+Prize in 1948,FALSE,test,,
a1h-fragment05_18,Another response to a visual stimulus was Thomson series of musical portraits of people such+as Picasso and Aaron Copland,TRUE,train,,4
a1h-fragment05_19,The first of these was written in 1928 and they number about 150,TRUE,test,,
a1h-fragment05_20,Just+as+so Thomson transferred Stein literary abstraction to music life from sitter drawing technique painter employ portraits these unusually the of the an ideal combination of Thomson habit of immediate response with an actual subject,TRUE,train,,1
a1h-fragment05_21,The results are terse and sharply etched like the best line+drawings,TRUE,test,,
a1h-fragment05_22,Thomson could control words with the same fastidiousness as notes,FALSE,test,,
a1h-fragment05_23,He always felt that effective musical criticism began by being well written and he never lost his liveliness,FALSE,test,,
a1h-fragment05_24,One never quite knew what he was going to say next,FALSE,test,,
a1h-fragment05_25,He started by writing occasional articles but in 1939 he wrote The State of Music a trenchant and provocative assessment of the machinery of the musical profession at the time,FALSE,train,,3
a1h-fragment05_26,From 1940 to 1954 he wrote regularly for the New York Herald Tribune and four volumes of his notices have appeared in book form,FALSE,train,,10
a1h-fragment05_27,He wrote a fulsome 400-page autobiography characteristically entitled Virgil Thomson on Virgil Thomson and a personal survey American Music since 1910 appeared in 1972 followed recently by a selected edition of his letters,FALSE,test,,
a1h-fragment05_28,As both composer and critic he touched both sides of the coin A climate of receptivity is what the artist most desires,FALSE,test,,
a1h-fragment05_29,It is also a thing that even the most experienced reviewer can not always offer,FALSE,test,,
a1h-fragment05_30,Thomson judgements about music were not always as accurate as his confident expression implied he invited discussion,FALSE,test,,
a1h-fragment05_31,Above all he restored the focus of music criticism onto the music itself,FALSE,test,,
a1h-fragment05_32,He made no secret of his Francophile enthusiasms in reaction to the earlier domination of American music by Germans and he was one of the first writers to register the importance of jazz,FALSE,test,,
a1h-fragment05_33,He fearlessly attacked convention which caused problems when he pitched into established reputations,FALSE,test,,
a1h-fragment05_34,It has become increasingly apparent that Thomson belonged to the American experimental tradition,FALSE,test,,
a1h-fragment05_35,He anticipated some of the enthusiasms of John Cage whom he first met in 1941,FALSE,test,,
a1h-fragment05_36,A few years later Thomson recognised Cage as the most original composer in America if not the world and Cage repaid the compliment by writing the works section of a monograph on Thomson,FALSE,test,,
a1h-fragment05_37,But finally in+spite+of their common roots in Satie and Stein Thomson felt that Cage aesthetic was destructive,FALSE,test,,
a1h-fragment05_38,Thomson songs contain some of his finest work,FALSE,test,,
a1h-fragment05_39,There are Stein settings such+as Portrait of FB but also cycles such+as Five Songs from William Blake Prayers and Praises and a cantata based on poems by Edward Lear,TRUE,test,,
a1h-fragment05_40,Thomson was also prolific in instrumental music on both chamber and solo scale,FALSE,test,,
a1h-fragment05_41,For many years Thomson lived in New York in his apartment at the Chelsea Hotel,FALSE,train,,6
a1h-fragment05_42,From there like a eyrie its in buzzard he would make forays round the US and abroad in+spite+of his advanced age,TRUE,train,,9
a1h-fragment05_43,He seemed a genial and indestructible landmark in the history of American music in+spite+of defective hearing which had bothered him since the late Seventies,TRUE,test,,
a1h-fragment05_44,He had a photograph of himself on his postcards and he signed his letters following the original tailpiece everbest,FALSE,test,,
a1h-fragment05_45,Thomson came from a generation of American composers which had to find its own way without benefit of university patronage,FALSE,test,,
a1h-fragment05_1,In that kind of free market he thrived and survived and so will the best of his work,FALSE,test,,
a1h-fragment06_2,Obituary Thomas Keller,FALSE,test,,
a1h-fragment06_3,By HUGH MATHESON,FALSE,test,,
a1h-fragment06_4,THOMI KELLER is the outstanding figure in the history of international rowing,FALSE,test,,
a1h-fragment06_5,He was President of FISA Federation Internationale des Societes d'Aviron the world governing body for 30 years and most of this body attitudes and practices reflect the force of his strict but genial personality,FALSE,test,,
a1h-fragment06_6,Most athletes first encountered him as a voice bellowing in multi-lingual fury at officials who had broken rules or arrangements designed to make racing safer or more fair,FALSE,test,,
a1h-fragment06_7,He was elected to succeed Gaston Mullegg as President of FISA when he was 33 and still competing in the Swiss rowing team,FALSE,test,,
a1h-fragment06_8,He did not loosen his links with the athletes when projected upwards into the Presidency,TRUE,test,,
a1h-fragment06_9,Provided their behaviour was sportsmanlike and safe oarsmen found only encouragement and humour from a President who was always among them,FALSE,train,,7
a1h-fragment06_10,Keller Zurich upbringing made him into a skiier and sculler and he raced for the Grasshopper club,FALSE,test,,
a1h-fragment06_11,He competed for the Swiss cross-country and ski-jumping team at the Student Winter Games and later concentrated on single sculls,FALSE,test,,
a1h-fragment06_12,In 1950 he was Swiss sculls champion and finished third in the European championships before moving to Manila to work for his family private multinational company Eduard Keller Ltd for four years,FALSE,test,,
a1h-fragment06_13,On his return Keller was Swiss champion again in 1955 and was bitterly disappointed when the Swiss chose to boycott the 1956 Olympics after the Russian intervention in Hungary,FALSE,test,,
a1h-fragment06_14,FISA was then a relatively unimportant body which organised European and other championships and participated in the running of Olympic regattas,FALSE,train,,8
a1h-fragment06_15,As a rich forceful young man Keller had been earmarked as a likely future president even before Mullegg was killed in an aircrash in 1958,FALSE,test,,
a1h-fragment06_16,Rowing was transformed in the breadth and depth of participation over the 30 years of his term,FALSE,test,,
a1h-fragment06_17,He sat on the appropriate boards of the International Olympic Committee and was President of the General Assembly of International Sports Federations for 17 years,FALSE,test,,
a1h-fragment06_18,These positions were not held for his own status but to promote the cause of rowing where it needed clout,FALSE,test,,
a1h-fragment06_19,He successfully defended rowing as an Olympic sport and in 1976 introduced women events which have now expanded to six classes,FALSE,test,,
a1h-fragment06_20,His personal preference for sculling over rowing assisted the introduction of quadruple sculls to world championship and Olympic competition,FALSE,test,,
a1h-fragment06_21,Keller was made a Steward of Henley Royal Regatta in 1976 a time when the proliferation of new six-lane still-water courses around the world which had emerged under his guidance seemed a threat to the regatta founded in 1829,FALSE,test,,
a1h-fragment06_22,But it was the spirit of Henley with huge crowds enjoying amateur sport presented with administrative finesse which Keller took as the yardstick for the international circuit,FALSE,train,,10
a1h-fragment06_23,He loved the place and he returned every year to play an often small part as umpire of races between undistinguished clubs far below the Olympic standard he was obliged to administer,FALSE,test,,
a1h-fragment06_24,He said this summer that as he gradually wound+down his involvement in sport Henley would be the last thing he would give+up,FALSE,test,,
a1h-fragment06_25,During his term as President of FISA he gradually reduced his role in Eduard Keller Ltd and used the company offices to provide a world headquarters for rowing,FALSE,test,,
a1h-fragment06_26,The sport is now obliged to find income from the more normal sources of television and sponsorship to replace his largely unacknowledged private patronage,FALSE,test,,
a1h-fragment06_27,In+spite+of his gift to the sport Keller was anxious not to abuse his status as President and never went to a rowing event unless invited,FALSE,train,,8
a1h-fragment06_28,Because+of this he had never seen the Oxford and Cambridge boat+race until this year,FALSE,test,,
a1h-fragment06_29,He was enthralled by the entire proceeding and remarked that only the English could make a contest between two crews which would not rank in the World top 10 into a bigger spectacle than the Olympic final,FALSE,test,,
a1h-fragment06_30,The final task he set himself for his Presidency which was due to end next year was to weed out+of the Regatta calendar all the rowing courses which could be made unfair by the wind,FALSE,test,,
a1h-fragment06_31,He had recently travelled from Tasmania to Norway in+search+of the perfect 2 metres of flat water,FALSE,test,,
a1h-fragment06_1,It was a blessing that in+response+to congratulations on the superb World Championship Regatta at Bled in Yugoslavia three weeks ago he was able to reply Yes and best of all the conditions were fair throughout,FALSE,test,,
a1j-fragment33_2,The Labour+Party Conference Policy review machinery in spanner throws a the Whitehall,TRUE,test,,
a1j-fragment33_3,By COLIN HUGHES Political Correspondent,FALSE,test,,
a1j-fragment33_4,AN INCOMING Labour government would turn large areas of Whitehall upside+down but the party policy review barely considers the implications of its plans for restructuring government departments,FALSE,test,,
a1j-fragment33_5,Scattered through the policy review are proposals to Drastically alter the status and organisation of the Department of Trade and Industry Create two departments a Department of Consumer Affairs and a Department for Legal Administration Create a Department of Environmental Protection within the existing Department of the Environment Set+up a plethora of new commissions and executive agencies Set+up a Women Ministry,TRUE,test,,
a1j-fragment33_6,Those are only the most overt changes advocated in the review papers,FALSE,test,,
a1j-fragment33_7,The only department which explicitly escapes unscathed is the one which Conservatives would most like to abolish the Department of Energy,FALSE,test,,
a1j-fragment33_8,In virtually every case the aim of causing upheaval is explicitly declared because Labour aim would be to upset the bureaucratic order it inherits,FALSE,test,,
a1j-fragment33_9,New departments and quangos would according+to the review be designed to act as irritants and antagonists within the Civil Service system,FALSE,test,,
a1j-fragment33_10,But the policy review nowhere considers the overall effect of the individual changes proposed or how they might be co-ordinated,FALSE,test,,
a1j-fragment33_11,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine,TRUE,test,,
a1j-fragment33_12,The medium+term industrial strategy which would form the centrepiece of Labour economic policy would according+to the Productive and Competitive Economy review group be administered by a transformed Department of Trade and Industry,FALSE,test,,
a1j-fragment33_13,The review adds What we now seek is a DTI which will have an equal if not superior status to that of the Treasury,FALSE,test,,
a1j-fragment33_14,That approach would seek to knock out a keystone of Civil Service tradition,FALSE,test,,
a1j-fragment33_15,Labour policy has long sought to challenge the Treasury dominance in government,FALSE,test,,
a1j-fragment33_16,But its last effort the Department of Economic Affairs set+up by Harold Wilson and headed by George Brown ended in futile departmental and ministerial infighting,FALSE,train,,2
a1j-fragment33_17,There would in+addition be a minister for Science and Technology at the newly supreme DTI with responsibility for determing investment in research,FALSE,test,,
a1j-fragment33_18,There is no mention in the education policy of how that might affect the Department of Education and Science,FALSE,test,,
a1j-fragment33_19,But while the DTI would override the Treasury a new powerful Department of Consumer Affairs would antagonise the DTI,FALSE,train,,2
a1j-fragment33_20,It would be headed by a minister of Cabinet rank and act as the consumers voice with other government departments,FALSE,test,,
a1j-fragment33_21,Its remit for inter-departmental intrusion would be wide with a watching brief over government action and the ability to initiate consumer legislation,FALSE,test,,
a1j-fragment33_22,Only the Women Ministry would be given equal license,FALSE,test,,
a1j-fragment33_23,It would be able to require each government department to review its policies practices and existing and proposed legislation,FALSE,test,,
a1j-fragment33_24,While new departments are born and others extended one of the oldest the Home+Office would become a shadow of its present self,FALSE,test,,
a1j-fragment33_25,Labour proposed Department for Legal Administration would take+over responsibility for courts and tribunals court procedures organisation training and appointment of the legal profession magistracy and judiciary legal aid legal services and the Sentencing Council,FALSE,test,,
a1j-fragment33_26,That would leave the Home+Office with policing penal policy and the criminal law,FALSE,test,,
a1j-fragment33_27,Responsibility for the Sex Discrimination Act the Equal Pay Act and the Equal Opportunities Commission would be given to the Women Ministry,FALSE,test,,
a1j-fragment33_28,The concept of a minister having Cabinet rank and therefore implicitly not being a member of the Cabinet proper crops+up again on environment,FALSE,test,,
a1j-fragment33_29,A new Minister of Environmental Protection would operate inside the DoE,FALSE,test,,
a1j-fragment33_30,That could work though it is easy to imagine conflicts of interest with the housing and planning functions of the department,FALSE,test,,
